,kpa,kSOCSon,ka1,ka2,k_a1,k_a2,kint_a,kint_b,krec_a2,krec_b2
count,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
mean,-5.369570546232813,-6.298583993230739,-12.314923275582348,-11.685003451810754,-12.91185770528735,-11.721518432942036,-3.020736381416835,-2.7395611533639657,-1.7975995454195366,-2.9548121775508136
std,0.03868364008171842,0.1314190240769812,0.2328139204876309,0.0880056945141883,0.2137945601049098,0.11849207507126407,0.3924461207806887,0.10046713108066267,0.5509872011359922,1.0208507929979183
min,-5.479670556375675,-6.735635898267431,-13.182557807475288,-12.03683286070835,-13.61483980054564,-12.278692065674795,-4.651686849472199,-3.123758087315205,-3.1747185706584435,-6.510590079272893
25%,-5.396121600713858,-6.377722003511498,-12.442033293692896,-11.747489357777882,-13.068231909245897,-11.785357781007589,-3.108429503490341,-2.798315393107214,-2.2153574422321025,-3.6526277895371733
50%,-5.3698373027509065,-6.287842198364151,-12.291270693868574,-11.687301822681167,-12.892345974579078,-11.705252334360221,-2.9195283853806506,-2.7311839301941565,-1.8547340731016533,-2.9816371531286987
75%,-5.345321369583657,-6.206423395058131,-12.155048850573897,-11.624148612561095,-12.751384011197016,-11.640641735358574,-2.7848295769956306,-2.670935612061672,-1.449296437348236,-2.2729467233463403
max,-5.2145721535214555,-5.97566648723404,-11.756798171725178,-11.404661318092215,-12.402781485477462,-11.41594101826176,-2.361973218597678,-2.4438179105027955,0.14587880032261596,0.9128762882296882
