,kpa,kSOCSon,kd4,k_d4,R1,R2,kint_a,kint_b,krec_a2,krec_b2
count,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0
mean,-6.190175344353165,-5.975801206188772,-0.49820478504640303,-2.2758708196295787,3.3953085029058494,3.222820071683065,-3.3482798525182282,-3.6770474023878172,-2.2931423039832537,-2.7394482706541607
std,0.8302860491284528,0.8707362738785984,0.2896375086088203,0.24859334270694383,0.2621968572001541,0.17002213436039998,0.9205825029122123,0.6698561948739002,0.9248851403096976,0.7446485607914909
min,-8.208162374685205,-8.318472203180717,-1.0412587271171663,-2.900705851439064,2.76181507175925,2.7377388552574144,-6.060910214561706,-5.854286232067848,-4.3354466973357395,-4.674873113948705
25%,-6.780027683181962,-6.519656797551606,-0.7320762228778473,-2.4418158810296173,3.193456639767695,3.1164895085660413,-3.992473733310064,-4.101490657368549,-2.9590996024798364,-3.2722408307405177
50%,-6.200862338980182,-5.930867680842535,-0.5297609662501324,-2.322564404980447,3.3649792661550086,3.22655576201521,-3.296439315181291,-3.676462122410984,-2.2195068337309154,-2.799281890592497
75%,-5.604672832475959,-5.349632486130027,-0.26063669970066256,-2.120508497477665,3.5634746132116253,3.3420115630687035,-2.707524982928,-3.291234783860866,-1.695527159762336,-2.190851134567194
max,-3.913513969388686,-3.6557754395894113,0.1582843496501817,-1.6505014492479908,4.063907823144986,3.695945825678103,-1.0169037772208505,-1.1768684039069244,0.7696792241395357,-0.3256811914795408
