,kpa,kSOCSon,kd4,k_d4,R1_mu*,R1_std*,R2_mu*,R2_std*,kint_a,kint_b,krec_a2,krec_b2
count,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0
mean,-5.958537886002373,-5.998602383064754,-0.5634722584789806,-2.20771280253779,3.3238594265867083,-0.7225519726713912,3.284193446336988,-0.6855831567855583,-3.3241268926003467,-3.681978172308053,-2.238998832572552,-2.995025760754661
std,0.2546329279298549,0.30320669420356955,0.19886904444254944,0.2193856061828359,0.16955755978087902,0.09571692260597332,0.18504715954707773,0.10707418537162942,0.3073122677541713,0.2546545056910663,0.2823094202569174,0.27651461775358155
min,-6.725054506599118,-6.933552419959281,-1.1542228711965454,-2.818236534064101,2.7759562204337493,-1.0052254811038488,2.732671673964946,-0.9645655572251413,-4.155747715467798,-4.384486916586157,-3.1290079794890717,-3.8077670120810287
25%,-6.134423846694499,-6.199638351919182,-0.6910762900516426,-2.348574389748873,3.217540796854423,-0.7838689581550468,3.1554477404060086,-0.7685656350110772,-3.5459791170115214,-3.850550667858181,-2.4179206246801463,-3.193691876622485
50%,-5.955441574184205,-5.998077113320402,-0.5413702195651247,-2.1799478807557526,3.327036042413225,-0.7289306712703703,3.2940374521320677,-0.6877863343579005,-3.3215922069731985,-3.6684013204245383,-2.238011355159718,-3.012464115728978
75%,-5.78089601049245,-5.797905566957469,-0.4354959851139158,-2.0512354364452294,3.4424978379161963,-0.6646235279576812,3.403411223467219,-0.6070336802719347,-3.109125628268702,-3.519077672962637,-2.047959006340017,-2.808358754995125
max,-5.292184941554039,-5.117269857242548,-0.027996569620273175,-1.700299357053833,3.791545441287754,-0.39119112266606915,3.8205439424671086,-0.38462552002221856,-2.5383342122267245,-3.002047399333316,-1.4663892185758987,-2.180179440925423
