,kpa,kSOCSon,kd4,k_d4,delR,gamma
0,8.165905683193665e-10,3.630520111125673e-08,13.728522263296489,12.816112586936274,-2947.4420571047285,72458.87471198637
1,2.4883143847664223e-08,2.3369237694487374e-07,45458335.44994088,46298748.69411322,-3428.8662468948105,15703233418.870735
2,1.2692134074035151e-08,2.1786661549854176e-07,277957060260655.75,986141865593840.1,3947.0350027079653,3.0664212799856794e+18
3,4.346125280543799e-09,5.243021245225332e-07,3.062034690822707e+25,1.743274597189817e+25,301.5516126537294,8.737436359689736e+27
4,1.2353333631085362e-08,1.6248854857034946e-05,2.5436683426711993e+31,3.9833395746746883e+31,-3292.6420319627864,1.9659104002472528e+34
5,4.6532147669499476e-07,0.0001297173744676464,3.2253321263753547e+40,4.561566958370056e+40,-3233.3521868419716,7.186904442042624e+41
