,kpa,kSOCSon,R1,R2,kd4,k_d4,kint_a,kint_b,krec_a2,krec_b2
count,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
mean,-6.007401311035062,-5.827231113166094,3.2864935596570666,3.249803903598785,-0.4744274407223539,-2.352327759474738,-3.3031099724759914,-3.6284123476021333,-2.24741038025122,-3.093997637551689
std,0.8345566809189071,0.8803780679180705,0.29886147092230936,0.2900889945452804,0.9282538073260601,1.0120473606913818,0.9310242337389011,0.9221526671989693,0.9697816296541641,0.9854988420500324
min,-8.668878058491364,-8.098878937929044,2.4767586022564583,2.448922143606942,-3.035071863081709,-5.986874672302993,-5.430494845535171,-6.175058201792881,-5.8189884459693815,-6.270279532519774
25%,-6.584611460301067,-6.454242128739527,3.0731532105265194,3.078117786822285,-1.0994120243994703,-3.1290224706865493,-3.959026911942214,-4.277425382000945,-2.8887554647706826,-3.76593907603336
50%,-5.96486334788598,-5.937240253327287,3.293365861600455,3.242124057461874,-0.48025648891872064,-2.369219328977481,-3.364060261577373,-3.5398681809357124,-2.191130742002597,-3.118119624632755
75%,-5.45749603724541,-5.198525488044691,3.477157996836722,3.4574730399450164,0.1925165617469578,-1.5698907259539214,-2.629313037044977,-3.0926399945990393,-1.519450304533986,-2.348894318935943
max,-3.6999171964795803,-3.1729019497153588,4.2666687243966726,4.08544740707622,2.5013644161483812,0.34995500462005813,-0.590723091235889,-0.25973458549281614,1.1210908212039787,-0.39839706746086123
