,kpa,k_1_epo,k_2_epo
count,25000.0,25000.0,25000.0
mean,1.0076483142588208,-0.7671716905755168,-3.0787244284590414
std,0.2621617741090804,1.344879070134797,0.9767080900459688
min,0.2611159181260591,-6.561885861578765,-6.7630071273237595
25%,0.7924444146892791,-1.6723647459272766,-3.637662222948575
50%,1.0123998117424744,-0.41211976802446404,-2.8793780071978206
75%,1.2015123135260832,0.24287722407499712,-2.3765625505913572
max,1.7317840156171864,1.8700873371930782,-0.8260014292826551
