,kSOCSon,k_d4,delR,meanR,krec_a1,krec_a2,krec_b1,krec_b2,gamma
739,6.18892481412169e-05,0.008952747615811886,-75.09171374440199,364.706752435451,0.01941236141810952,2.3183012609915123,0.07819482305622016,0.6776132264336846,20.896254345956883
740,5.1177673259824953e-05,0.00864680819921142,-131.9144852811334,341.311282345391,0.019975574375751575,1.9270022102477902,0.08366235132097925,0.766045822906795,23.037227602570315
741,5.593472338617504e-05,0.006894374473359025,129.2530833919035,426.53717836843754,0.020336945651971708,1.9535777533591225,0.09580292097896959,0.9238916182148751,15.14575226332064
742,6.75946064582876e-05,0.010592778826576344,-127.33754232184543,401.63082951993806,0.020326114532188338,2.0113235881245823,0.09494697739614122,0.9109012812512401,19.763287040668544
743,7.29312991764278e-05,0.017594835957350966,-314.1594305747451,433.2512938764709,0.019156227706453925,2.5723361607382236,0.07706343726696922,0.872515349469248,21.906862024348012
744,6.777989188627806e-05,0.00932902788513675,-33.12381398268229,548.7805376372768,0.02119587125346785,2.7137251804892637,0.07868255490168484,0.7799804805766456,12.561173980717664
745,6.26187435214018e-05,0.00358129165540504,-149.17815793559424,295.3040904743435,0.021102416965657532,3.161599320336712,0.06748841966743399,0.7014560015627013,28.466635924729072
746,4.924629225944585e-05,0.002989236117334671,-66.35136686159167,427.18415936536326,0.023996302597409938,3.3530762938081957,0.06769169441657152,0.7784669390204035,16.153551309483056
747,5.766715915553038e-05,0.004017094786450138,128.95140411390145,348.92608499949563,0.023742417085125284,2.946138098670321,0.06763729726190791,0.9380130477984416,18.38446385454482
748,7.122339067034181e-05,0.002574810229384674,52.55778019284094,336.8361029297143,0.01930545814195787,2.4823146392161086,0.07487155886466826,0.8336825464252398,20.324935629523175
749,7.550836816519338e-05,0.002747410717941922,-103.86934940526294,620.9740885581389,0.019194992275124313,2.9136134441134782,0.07422859862248646,0.8484711385343147,11.054151303698877
750,6.667137395679226e-05,0.0014687743852166797,238.84546611692633,506.66033907234015,0.0182802635838656,3.0605576823920497,0.08639991971907089,0.7566321089677426,12.010435231883804
751,6.093217068684425e-05,0.0025552990212140084,71.00333853761492,281.50098680732196,0.018759461520445733,2.676048451385624,0.09850035921422867,0.7035492184653255,23.408484121778304
752,5.5132739589160144e-05,0.003581289508075934,33.9572957196268,520.6786012012305,0.018971936601448133,2.6095678419214225,0.09661501253048349,0.7127624637052671,12.433020709704467
753,6.104014404917402e-05,0.0022742914486785833,-126.33476509653848,262.82156145063067,0.016550138775003005,2.8356098012254627,0.08713045824242255,0.6406896991373209,31.319272607628207
754,4.939480023699998e-05,0.002102606921553046,181.12638263528356,480.2760646734605,0.01861229526461796,2.843128868537505,0.08767015468707844,0.6935879739962221,12.517370158949452
755,4.0528732986089775e-05,0.0034512706093832767,383.71792707810914,636.7263476116696,0.01773351684077977,2.824566955930119,0.09545436346974231,0.85666718100871,8.710090697578009
756,2.7636908889556046e-05,0.0043639345473219186,-18.11620720737966,535.112176027881,0.01660480476770879,3.2560457095486437,0.09743658352750817,0.9325728342997239,11.03228391406083
757,2.525206781806041e-05,0.0027984045329792198,269.26467708211396,694.9145131709425,0.013763586638480147,2.9752919353586433,0.09293588794608448,0.8873814408532023,7.493112634619988
758,2.5080856490229675e-05,0.001748433728953671,83.1802927219043,600.6831893707879,0.012150498708475881,2.6811204539140694,0.08435227373013425,0.8299373816692425,9.111060214857144
759,2.7446284605709383e-05,0.0007643187844723215,543.0204228683572,734.5328126419832,0.01125367841031627,2.249618242004832,0.0939589898821369,0.777307972527526,6.889175417314061
760,3.0414890501103785e-05,0.0003480993867584849,214.28839844557893,788.0810106027753,0.011926186542475145,2.5912880714293465,0.0870253068003274,0.7326733762030475,6.700450739192592
761,3.7207982411555695e-05,0.0002489643200401395,500.0781335485691,851.7169577452651,0.010627165950137614,2.7620646859912434,0.08195429831040993,0.7552675425264684,6.0621943340142
762,3.4471403597302574e-05,0.00027111159917392937,-221.85599294294832,324.8686649197998,0.009914435507342844,2.505681297631532,0.08607956873562495,0.8057233221073389,23.830394374250204
763,3.306663079569559e-05,0.00014160442341855272,223.71054861739856,578.0032470871811,0.010600644442472112,2.2088791642670933,0.08950848700841851,0.82354404599898,9.501157270565395
764,3.3701568690774805e-05,0.00016669581589583653,-242.1095149217715,495.49281333786143,0.010013987096014426,2.5301703425131135,0.08465473261393851,0.8281899279619384,14.059423840737354
765,3.304690353895131e-05,0.00010235289734426636,-323.86572593430003,410.4137049348453,0.009433904898568024,2.5645463091496405,0.07982844306138065,0.7432717119820635,19.459660371709433
766,3.8812936040902585e-05,0.0001228749018421948,256.01069591168346,410.613852311806,0.010623909352737446,2.276086993730531,0.0693632098549467,0.8148912490418336,13.491554502483107
767,4.06649999829365e-05,0.00011335964647565886,-89.53655897794954,385.8394632936933,0.011267352952971616,2.2337688572331564,0.0727577982713337,0.8226701368184801,17.527249109509224
768,5.048162629497524e-05,0.00019316205255638267,-257.65706172501507,273.5571954377308,0.013271971743939345,1.787250757201756,0.07681421888539262,0.715138604776647,35.53013268727302
769,5.965730483439333e-05,0.0006564670100515513,-237.6563106803786,219.41908420929508,0.011672329683877058,1.7676123495499985,0.07431423400510237,0.6339345342193801,50.45832234425333
770,6.242492210528388e-05,0.0009884471890538905,-120.622265130522,439.07104318231217,0.011775462713004996,1.906818258798835,0.06354662909240269,0.6698024411467545,16.764203622950284
771,7.69644610216052e-05,0.0010733549013713193,-239.791886278361,558.3806379071838,0.01246074749208186,1.8338304221006558,0.06011979454620396,0.6534081236184675,13.749609754136324
772,8.721353684188034e-05,0.0017872957774137928,-248.84846534124085,557.3069632251476,0.010878637573586975,1.9141015138536586,0.0498998296909285,0.6737437828223726,14.10079020761735
773,6.674453497145811e-05,0.0015182389228595768,347.19422249153195,473.1340951399501,0.011388103615774152,1.9611990014520437,0.04720492813656292,0.8426558735069569,12.549162060300075
774,7.935742768806718e-05,0.0018219585509304575,306.16454543842906,534.4365557139067,0.011591252774848673,1.86401671937734,0.052386778888287175,0.7303072846496529,11.367619175560526
775,5.011145091711789e-05,0.002228580164376631,287.9772799967762,659.0454565099561,0.011490899474107707,1.7289051049903068,0.050466048722834195,0.6464775336129839,8.680469672061594
776,3.557273836752114e-05,0.002219517566352026,-59.22187702269264,556.236225616544,0.014840848079672633,1.8561665032364836,0.04643277063761322,0.6797350533162828,11.172293175872655
