,K_Jak1,K_Jak2,K_STAT_STAT1,K_STAT_STAT3,K_SOCS,scale_factor
count,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
mean,-0.009230073092726264,-0.05104368884232048,0.040269467917547715,-0.06864464698403552,0.023337069587989936,0.015118590715442633
std,1.0498741831930494,0.9992416339037294,1.0239229923665962,0.9934790677339345,1.0372967462892795,1.059652985445609
min,-4.0377717065742225,-3.4251105609755306,-3.160586322608764,-3.693339692970179,-3.683738204448675,-3.7970982704941565
25%,-0.7076290522250509,-0.7017442372968689,-0.6450263363586688,-0.7408264704297817,-0.6645258963195652,-0.728488556229184
50%,-0.01891127834060989,-0.029523749982344926,0.06687481761794734,-0.06832323871671309,-0.00277553565093741,0.04817100605652066
75%,0.6892506468174783,0.6299111700753589,0.746912759927673,0.6347904426735319,0.7256705431174726,0.7506456371231609
max,3.8014663587557966,3.400988407328259,3.3701694179138477,3.3088649015081417,3.8723267969981414,4.411389948566195
