,K_Jak1,K_Jak2,K_STAT_STAT1,K_STAT_STAT3,K_SOCS,scale_factor
count,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
mean,-6.637022626943188,-0.25661104739988283,6.268737850424865,7.390124237894176,-20.587594917746472,1.1171930436114503
std,0.1852428634541517,0.5869480858406352,0.5715968953649058,0.5724016887836604,0.60329572419929,0.24464030792359048
min,-7.308181415792896,-2.009140898002367,4.127454175966774,5.26900246185244,-22.5686134335535,0.26513694038712016
25%,-6.765886156467075,-0.6474795547592554,5.87681573477887,7.006581076001928,-21.015921042296664,0.9538953462032118
50%,-6.639871648249974,-0.2985259053883891,6.292211199848665,7.410837580445192,-20.572922355892253,1.1217775866090423
75%,-6.512542131318774,0.12083268938403077,6.6617434546976,7.799596777543857,-20.1737205560947,1.2975333880991733
max,-5.995978729649856,2.5576268037435947,8.372002003874323,9.58399737493007,-18.205193968872333,1.897771038025767
