,kpa,kSOCSon,R1,R2,kd4,k_d4,kint_a,kint_b,krec_a2,krec_b2
count,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0
mean,0.4669007020447012,-2.6234266415349805,3.2358659513667485,4.801545134364538,-1.0387500121916986,-2.7948409767501383,-2.6143246847569017,-1.9567776951196447,-2.339368051842875,-3.2257006185136814
std,0.43551848544900557,1.6515647735946821,0.37204793761941685,0.3038629331818356,1.4240350608055203,1.4533820324714426,1.5045999416727383,0.43833229989432604,2.127928553424813,2.254518394379461
min,-0.2425858813427677,-5.650309921446477,2.12956202352303,4.036459999918662,-5.39155091411818,-8.51245114270536,-8.989225793441081,-2.781350546032855,-9.379110723012884,-10.623096620023182
25%,0.11931217421796213,-4.291689761728346,3.0506239876315977,4.889015607228594,-1.9214818975950023,-3.6246577401680415,-3.447491869436294,-2.237469277669443,-4.3057932185944985,-4.736686570351917
50%,0.3303153242754153,-2.4374901996741714,3.2608908894409216,4.951850256557166,-0.6880017489385568,-2.651122612949867,-1.8442952028359354,-2.0701190092449764,-2.2798596787602667,-3.211158740746337
75%,0.6884604199447304,-1.780092235703058,3.4692951856409415,4.983551979308891,-0.03970947945323222,-1.6728178345198208,-1.6204334317313536,-1.8272070266550844,-0.4495342345749427,-1.721765044281781
max,2.8906923762369385,1.2942867275076162,4.557818711555781,5.06352556918948,3.0602649360280014,0.9508143441426157,0.31933392928464854,0.7841015227182466,5.875717140167961,5.224266486635015
