,variable,GR Statistic
0,kpa,1.2021391067680973
1,kSOCSon,1.2280578243526552
2,kd4,1.0645531907313779
3,k_d4,1.1432655794443805
4,delR,1.5672092016617547
5,gamma,1.2891053282681082
