,kpa,kSOCSon,R1,R2,kd4,k_d4,kint_a,kint_b,krec_a2,krec_b2
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,-5.866289729995633,-5.817809741123577,3.247851288469619,3.2441589601888325,-0.7904801456123906,-2.086711523751568,-3.1993628126767923,-3.4432392727797887,-2.5550642168377546,-2.9336839490104683
std,0.9499165528003869,1.0776966617327755,0.29277868653700356,0.29099424653648365,1.2052908811281526,0.9964897370586263,1.0158905892544055,0.9356893849133587,0.9613667122950517,0.9791749045622096
min,-8.655365216370885,-8.994110116050619,2.571447203623865,2.585744679173758,-4.4457838975833575,-4.645421920917931,-5.575539359172025,-6.609556447903795,-5.180965250096385,-5.757679547519026
25%,-6.475483975400645,-6.366873798015307,3.04056072499166,3.0188577290834266,-1.5418444066489567,-2.7375937966096853,-3.8875554314542367,-3.9712158305840073,-3.1514132217949236,-3.464879210840987
50%,-5.770878962362753,-5.876164786844283,3.2103936028258584,3.221014791415936,-0.769870719866187,-2.0908279876008113,-3.283084926482449,-3.269553163884588,-2.4832746482693278,-2.8082175834243515
75%,-5.2365553356207295,-5.251467767779226,3.469947219535227,3.496445485029087,-0.09004806735718307,-1.380207646473252,-2.458696211815766,-2.8106150960888794,-1.9328751229931518,-2.18104300477609
max,-3.458944098292637,-2.603573239389753,4.07254379795253,3.999728076657007,2.6343152759669217,1.3778504028129865,-0.4272246479671891,-1.221065543762561,-0.33016109134651955,-0.18468215040217476
