,kpa,kSOCSon,kd4,k_d4,delR,meanR,gamma
0,6.8513127660955935e-06,4.55360964808899e-06,0.28597302095327254,0.22650552082463593,-117.28351868524294,1737.2363384078947,1.5139196504825048
1,1.0257670769418373e-05,7.535282685869936e-06,0.3432230945961199,0.3785340466457219,-1450.1121788392918,1021.682685524562,4.532866213906103
2,9.185173128007113e-06,4.960607337013407e-06,0.47567256381862166,0.5488307933251381,-1529.994919147446,1740.7927910360186,2.0133707911720147
3,1.0940020665670356e-05,5.5421545836677865e-06,0.16511067393706305,0.043477040063792466,-495.9205910782056,646.4865126716819,2.6989320427402683
4,4.390250735705454e-06,5.532166726235699e-06,0.27039331132135846,0.03619796696775096,-1130.3024528936949,2046.2138070091569,1.708689682523279
5,3.945795100781841e-06,5.276867972096892e-06,0.39307243704006734,0.06059167399442092,-2795.431754283427,3164.1378180944366,1.5219897542104381
6,7.170911632000014e-06,6.407583838311112e-06,0.3158587782723832,0.032968720294901284,-2313.588342066201,1664.7417064734836,2.514445180672609
7,7.763656853801243e-06,3.5599702665922913e-06,0.12267593393217863,0.03385539242261022,420.4150489936672,1088.7835543291185,1.398447401974739
8,1.1228702600351624e-05,2.3128259536830636e-06,0.5073007827720518,0.5078641232052474,780.7113663372171,922.2463055659175,2.687970180462951
9,7.549724878783176e-06,2.8031717160843886e-06,0.5210907805890969,0.5915695473322612,824.5619110732687,1493.498486130177,2.0048414952249423
10,6.426019931128485e-06,3.4298881529029128e-06,0.3614091303361003,0.043330999495901995,181.87481050892353,2110.180980339609,1.0818271784373599
11,8.194706758139307e-06,4.669571217907952e-06,0.21209196665401997,0.1825814053136394,165.71371717795233,993.75557347854,2.152858959403424
12,1.2135284902663905e-05,1.5277346700134648e-06,0.862702571439228,0.6919745301092551,-708.593795776125,1884.2691783436514,1.2157287165517023
13,1.605655584789652e-05,1.7978570487986104e-06,0.9281224787479769,0.7608278664282536,1187.0269114518378,1382.0522428869253,1.590352726500828
