,variable,GR Statistic
0,kpa,1.2656458162966016
1,kSOCSon,1.2234574280268258
2,kd4,1.1058961576937065
3,k_d4,1.085383970688423
4,delR,1.199617448888018
5,meanR,1.0817425194542223
6,gamma,1.1278031915296154
