,variable,GR Statistic
0,kpa,5.274873823726271
1,kSOCSon,4.1292743307654245
2,kd4,1.2437522287439593
3,k_d4,1.2534671757244582
4,delR,2.4737127127779117
5,meanR,3.9272703597962773
6,gamma,4.814173943304631
