,variable,GR Diagnostic
0,kpa,1.0805353981110535
1,kSOCSon,1.03905278723185
2,kd4,1.0075372479361995
3,k_d4,1.0064991343102656
4,delR,1.0119346411903234
5,gamma,1.0404833409748415
