,kpa,kSOCSon,R1,R2,kd4,k_d4,kint_a,kint_b,krec_a2,krec_b2
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,-6.072638743810341,-5.973334361853806,3.398409510127126,3.258561922047804,-0.8628600673205462,-2.255300350660385,-3.4459118985343675,-3.5145930692789453,-2.732516154236673,-2.8828475561072855
std,1.0347930965985712,0.8451007718363119,0.26466174383629015,0.2743971656102677,0.9196667454904487,1.062605712131404,0.8694781976818202,1.042344910034057,0.9173836263650853,1.001774165848859
min,-8.939290732354708,-7.873444557020046,2.8144828980091967,2.3335811152172115,-3.147605378002525,-5.040016476411005,-5.030139648227006,-5.720433910157348,-5.125779829660666,-5.554226357579037
25%,-6.773984491475068,-6.6337561308842785,3.2017968940063546,3.0785458074583163,-1.4781272729405623,-3.003520968707587,-4.089345828281998,-4.415388372287424,-3.376218495215171,-3.576775632285347
50%,-5.959335824768821,-6.021954167959301,3.4040080554568934,3.260627625611562,-0.9290735939992941,-2.2666480497592834,-3.4802541835304863,-3.6316212594859496,-2.6782813035713278,-2.9142160800672237
75%,-5.252229223609578,-5.389451304470776,3.586571654877502,3.405972365176887,-0.0980702511816722,-1.4306542991962816,-2.930211284609852,-2.7869563821561014,-2.1043737753393446,-2.200858641931163
max,-3.9355143013861715,-3.862633585112229,3.9930024623262943,4.152761516342771,1.915518630129992,-0.09470108216782658,-1.1347893159303464,-0.9010777743917794,0.34906047638673166,-0.17472456846850218
