,K_Jak1,K_Jak2,K_STAT_STAT1,K_STAT_STAT3,K_SOCS,scale_factor,K_USP18
count,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
mean,5.04351333806721,4.966211197469718,4.975188284620709,5.024010490819711,5.0045572897971,5.226734458957991,5.010284481741674
std,1.0424842098989204,1.0646027542258047,1.0442641936726416,0.9889348631568904,1.0113750462704,0.38526235110663043,1.0492800474780268
min,1.2449714878185225,1.0472722632542333,1.5684108208694705,1.7615943859592356,1.338002601125328,3.926577525868971,1.3363907894515585
25%,4.337013824084251,4.257809247974279,4.254167666633471,4.34721467755417,4.284452495427439,4.971173321591335,4.318520328226889
50%,5.032925685971678,4.972391770340677,4.985741773797575,5.0581467358492045,4.980729619539777,5.224758757456365,5.040247455208898
75%,5.752671143196398,5.687163094116703,5.67572329869037,5.703743050740895,5.675789946881553,5.484577116426323,5.7239300461702305
max,9.057717609150334,8.756541237882244,9.271537684696117,8.526971691070996,8.95959606000049,6.761608462448049,8.798025760994955
