,variable,GR Statistic
0,kpa,1.0062600489463922
1,kSOCSon,1.009857522803101
2,kd4,1.0039101407177156
3,k_d4,1.0020306302978672
4,R1,1.021137113164511
5,R2,1.0205618656587094
6,gamma,1.0054443524587884
