,kpa,kSOCSon,R1,R2,ka1,ka2,k_a1,k_a2,kint_a,kint_b,krec_a2,krec_b2
count,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
mean,-1.5220441390960409,-6.688725468263541,2.602696947220256,-0.9619080495939054,-12.735976329897074,-11.3368742271643,-12.71811863312823,-12.115748299760066,-3.608995676267448,-2.5055204531740283,-1.7510276245287706,-2.8347805069943854
std,0.8194245314634326,0.0945890254603585,0.10223349365880707,0.823493279893619,0.22739483195743238,0.08736040210014544,0.19721555749392677,0.17603845255964198,0.5116018442236483,0.08753264261150147,0.5049951129765504,1.001952609062627
min,-3.962772685208602,-6.980132642320138,2.2148128175499884,-3.15940510995684,-13.706304365689718,-11.696595682997662,-13.485846388582427,-12.8107968325056,-5.680855605519563,-2.8063944144340813,-3.0292019572665434,-5.984370286471956
25%,-1.9888643346854882,-6.750548547551711,2.5377899808101465,-1.5224626569403457,-12.866699451092666,-11.39900973354884,-12.833331928649125,-12.222319768665503,-3.9007668749146567,-2.56645058797254,-2.111893104884865,-3.5585130108468275
50%,-1.4756312218851106,-6.682333558718543,2.6053156952286374,-1.0085287185433152,-12.709780580368221,-11.332678489426963,-12.696467129222528,-12.084461796900083,-3.5505100561962535,-2.5070570596334174,-1.8152215735496444,-2.7951903485598546
75%,-0.965070701050301,-6.623005082665057,2.6693265338476895,-0.4963588887967144,-12.591213731565682,-11.27687467565285,-12.579917277922858,-11.98536127871127,-3.2489872925342675,-2.446199010831539,-1.4264336621363578,-2.1301011882688448
max,0.6353091117932376,-6.404052913726917,2.9353742656066406,1.7447593328881117,-12.178895961769202,-11.084126649736701,-12.207610728377258,-11.79066916009907,-2.377392293614257,-2.1980737952251155,0.16318871359955575,0.4057239759424698
