,kpa,kSOCSon,R1,R2,kint_a,kint_b,krec_a2,krec_b2
count,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
mean,-1.4878585758964749,-6.381554736040878,3.498733167686461,-1.4511769300317283,-2.5968976520661418,-2.538522140485702,-1.6903799886821302,-2.9689796620630857
std,0.6991390305672942,0.1430862698932009,0.080007535869871,0.7007114302925247,0.11950911859741968,0.07634636309135912,0.5029536887901037,0.9466664052192574
min,-3.931608990119251,-7.153076316974796,3.2311962297630106,-4.106200746401767,-3.1881853981068264,-2.811642157849735,-2.9364204919582026,-6.038771287917083
25%,-1.9350070319565884,-6.465185910550374,3.446295011353811,-1.9001073652405172,-2.6735156202953982,-2.5880454488619598,-2.0682131714931447,-3.6388613125278826
50%,-1.4843653366247953,-6.366824143656948,3.501893911789935,-1.4603163271599917,-2.5935163753091444,-2.537198587588842,-1.7478847272403286,-2.9750636603997127
75%,-1.0502131051316177,-6.284467426602374,3.555104852736344,-0.9953116363894848,-2.5152769470035237,-2.487899163754312,-1.378256182048818,-2.302040438902363
max,1.128571004701664,-5.977397386995221,3.778398144583126,0.9819579685875658,-2.247734651778866,-2.2888194145838883,0.7373495493771208,0.3828608471272535
