,kpa,kSOCSon,kd4,k_d4,R1,R2,kint_a,kint_b,krec_a2,krec_b2
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,-5.9916470028802555,-6.015478208140272,-0.5242444359602658,-2.2257165885929897,3.2974931647548367,3.313469504926486,-3.2766211998964327,-3.6844458702570484,-2.307993586059664,-2.974667782157652
std,0.2889154243047425,0.28840067979105605,0.1900371920528202,0.1922767703342579,0.18759393996009746,0.18487161498110377,0.28265864017349884,0.2926443584581375,0.28527372452089145,0.2974780819046516
min,-6.846498005240454,-7.042895962902379,-1.0968392333436203,-2.7825417422508876,2.6928481646093942,2.7557212951688594,-4.174099865706697,-4.670935668144427,-3.314485473737368,-3.7854053610000897
25%,-6.18472630480969,-6.213329691981825,-0.6569150592771194,-2.357625295739859,3.1658540356799336,3.187935257881653,-3.4601765831112568,-3.8705131551397685,-2.5036849145705675,-3.1837723953018706
50%,-5.9986833358650316,-6.0134960083157445,-0.524195493493775,-2.226448040453472,3.296969458888596,3.307597530901827,-3.28357452969161,-3.6963129796514727,-2.3056467225436643,-2.971886174028074
75%,-5.802248903863545,-5.817025475599274,-0.3955983340400863,-2.096550069480487,3.4247701364658347,3.4389688516027714,-3.0960046898678817,-3.4865650015063125,-2.122431014059799,-2.7700182588459508
max,-5.005570502725289,-5.072285613472312,-0.03399312240117407,-1.5260970909257272,3.9038090502385345,3.811685313769702,-2.335730806499863,-2.696465594024844,-1.2786046305840149,-1.9970949687243462
