,variable,GR Statistic
0,kpa,2.056868415694069
1,kSOCSon,1.5804549490966224
2,kd4,1.4119559810250166
3,k_d4,1.2993193244718901
4,R1,2.68007433004619
5,R2,1.5187848340176724
6,gamma,1.0785630883292976
