,kpa,kSOCSon,kd4,k_d4,R1,R2,gamma
0,7.081639764270077e-07,8.740852328560469e-07,0.2797188959203854,0.009128514649214207,1371.447242714792,2168.748627980379,2.2307000821830045
1,5.706786688472922e-07,9.33772774367705e-07,0.1745814205204807,0.009333337073444496,1155.0381138012533,2219.01351514184,3.0476858914585754
2,5.436204818989473e-07,9.032567716307601e-07,0.1570866801178671,0.005727441620928288,1183.5065329314355,2166.6641711283423,2.6198367186438754
3,5.712966859169451e-07,9.959210552028901e-07,0.1317935177878948,0.0038919001279732147,1185.722205067895,2256.6750954909794,2.861343564246585
4,5.31553202788773e-07,1.0470934693460613e-06,0.1180867949090896,0.008780524222786693,1343.4625975634526,2097.9142296940045,2.8386823056038617
5,4.78447458628429e-07,9.809542097159883e-07,0.14126103205037188,0.03314056195858613,1527.1737048809596,2102.348072062724,3.2843653752733935
6,4.387857424047425e-07,1.038669716894071e-06,0.14442865672190755,0.045995291440630984,1553.84682826425,2260.5306815786494,3.7642045569432137
7,4.0954019097936136e-07,1.231990480864205e-06,0.15063135875351408,0.03862139042431163,1504.820897245069,2368.170500680046,4.857438622917371
8,4.6300730397617643e-07,1.2281234223636437e-06,0.151471217470299,0.02509880959896585,1477.2753543567112,2279.9186070669607,3.676830236456223
9,4.382500124359358e-07,1.0947140765102208e-06,0.13159253861385206,0.022889789350379466,1744.524364066093,1934.7556888977763,4.478548360381499
10,4.535173710481809e-07,9.55339902449817e-07,0.11734967058137792,0.05672797724730305,1716.677597127704,1712.743757846804,3.0710488478843354
11,5.921030264834846e-07,8.532227947115549e-07,0.08718567051624894,0.06301524478237881,1744.3514797401037,1537.2860710820266,2.7751661326477706
12,6.579602355333565e-07,8.711747713491153e-07,0.09728663624709565,0.07935791775030869,1557.5424361674372,1489.8291811361328,2.9214779642822832
13,7.170132466850889e-07,7.322370404229653e-07,0.09224581537640208,0.030861271572864456,1273.9360956508667,1214.9432089742852,3.2653097946390197
14,6.267835476132921e-07,6.341768840240952e-07,0.1342588808103722,0.02745900093996764,1230.9438855408955,1187.7187837965723,3.1455605516587095
15,7.298319954187066e-07,6.294398876938683e-07,0.13956727856695597,0.03715604860178165,1254.3752670362064,1292.0246857471752,4.156658189033653
16,6.940122433410365e-07,5.698799313397786e-07,0.1306797438044625,0.026070132815326313,1011.0859565393238,1416.3620027286684,3.4722336773687394
17,6.517976716861621e-07,5.791189605844752e-07,0.1424469326324196,0.021658216321072524,895.4220691015981,1543.5158527689043,4.558718373853511
18,6.122324900756229e-07,6.184017322670868e-07,0.17099309060485363,0.015521825914579616,802.4743059760962,1589.3357401723201,5.1960123074101565
19,6.51512819876303e-07,5.731697542860962e-07,0.19364313335974784,0.013651279687157009,870.1711273481166,1512.1881130501686,3.864474988875704
20,5.60751244203615e-07,6.517124622513551e-07,0.2096269164133742,0.008152390262609817,972.1148496266816,1602.6652397066025,2.8604993358950512
21,5.412463625318648e-07,6.759621528047816e-07,0.1817241674339998,0.008792599901877257,896.7949179811618,1668.0354567706813,3.610793409894143
22,6.139792060693678e-07,6.585374270488812e-07,0.22978628187261996,0.006814936993579347,1010.3356921942865,2034.9919324631219,2.7557087944744034
23,6.331288060627747e-07,6.890641389681658e-07,0.26296364500434255,0.004956768343567833,1370.1313333569706,1960.7836536259613,2.6147795528191913
24,5.511207760778371e-07,6.717846677569316e-07,0.2528583775402736,0.005635400249897326,1415.9607231993034,1818.9381627289545,2.2126112021971798
25,5.94421051943556e-07,6.334735146467018e-07,0.17066365036763326,0.007298953403830846,1673.2407281466903,1740.0296056533234,2.9184690473618424
26,6.140730919284278e-07,6.208112176039913e-07,0.18296697077698532,0.012320168711924423,1564.2521048793533,1859.1884068220754,2.073966021007589
27,6.405595859199993e-07,5.640660525496934e-07,0.16683595788754604,0.011807518457154562,1289.1449614629275,1921.8657965890445,2.47666806305935
28,6.036682857108342e-07,5.726521677361877e-07,0.194857417684297,0.027440330660443372,1456.1792110404483,2070.980175424016,2.6456341308318567
29,5.958988367528444e-07,6.122974997132569e-07,0.11183760494582545,0.04065050707778574,1676.8912794262803,1892.3197349457232,2.156535877870711
30,6.809658598114633e-07,5.740320383662623e-07,0.10315314110934565,0.11058127159609218,1693.2423950651269,2185.0553902709985,2.493589983420746
31,6.785387995945338e-07,5.501321549832976e-07,0.084854036811351,0.10764446646897484,1992.8405937587818,2134.332871643915,2.1573138558977694
32,6.98730426707565e-07,4.515265271427699e-07,0.10153440071302616,0.13820278690266424,2164.5593858502643,2240.541448291847,2.376100507137229
33,5.879071553052617e-07,4.6501081185746187e-07,0.10330070133769226,0.17386395048988823,2074.359221808292,2172.5754424983425,2.6777936607430854
34,6.373972906498722e-07,5.618434613192105e-07,0.11102728559443427,0.19558989113242747,1874.1861394155435,2270.189386238137,2.89772797456096
