,mean,sd,mc_error,hpd_2.5,hpd_97.5
X__0,0.0251992710106045,1.0931527320840368,0.10931527320840369,-1.87844301021,1.8018294718599999
X__1,0.02547308115612701,1.2338815085208363,0.12338815085208363,-1.85737348366,1.8817499629700003
X__2,0.16360035225141303,1.0842086231378998,0.10842086231378997,-1.67508338948,1.93886152033
X__3,0.07368756349546932,1.1543490177429205,0.11543490177429205,-1.7271226379299998,1.97484484646
kd4,0.529891764460131,0.6458282351505084,0.06458282351505083,0.0324380980927,1.48162161551
