,Well,Concentration (Mol),Cytokine,Time (min),pSTAT1 in B cells,pSTAT1 in CD8+ T cells,pSTAT1 in CD4+ T cells
export_Specimen_001_A1_A01_001_Lymphocytes.fcs,A1,1.00E-07,IFN-alpha,2.5,394.6697922,673.1186218,922.0990295
export_Specimen_001_A2_A02_002_Lymphocytes.fcs,A2,2.00E-09,IFN-beta,2.5,396.5248566,755.4790039,911.0304108
export_Specimen_001_A3_A03_003_Lymphocytes.fcs,A3,1.00E-07,IFN-alpha,5,641.2165375,1160.563477,1494.078171
export_Specimen_001_A4_A04_004_Lymphocytes.fcs,A4,2.00E-09,IFN-beta,5,721.3714142,1445.267456,1725.274994
export_Specimen_001_A5_A05_005_Lymphocytes.fcs,A5,1.00E-07,IFN-alpha,7.5,835.7576141,1459.830383,1959.328552
export_Specimen_001_A6_A06_006_Lymphocytes.fcs,A6,2.00E-09,IFN-beta,7.5,911.6807251,1527.771423,1912.217163
export_Specimen_001_A7_A07_007_Lymphocytes.fcs,A7,1.00E-07,IFN-alpha,10,910.1091766,1660.488495,2029.084412
export_Specimen_001_A8_A08_008_Lymphocytes.fcs,A8,2.00E-09,IFN-beta,10,940.102417,1636.984161,1982.237549
export_Specimen_001_A9_A09_009_Lymphocytes.fcs,A9,1.00E-07,IFN-alpha,20,1028.043457,1671.829315,1957.594818
export_Specimen_001_A10_A10_010_Lymphocytes.fcs,A10,2.00E-09,IFN-beta,20,1007.222885,1607.147705,1901.467102
export_Specimen_001_A11_A11_011_Lymphocytes.fcs,A11,1.00E-07,IFN-alpha,60,943.3455048,1227.182892,1375.922729
export_Specimen_001_A12_A12_012_Lymphocytes.fcs,A12,2.00E-09,IFN-beta,60,1018.030991,1305.253662,1273.129425
export_Specimen_001_B1_B01_013_Lymphocytes.fcs,B1,1.00E-08,IFN-alpha,2.5,376.6733627,680.6302795,761.2742615
export_Specimen_001_B2_B02_014_Lymphocytes.fcs,B2,6.00E-10,IFN-beta,2.5,329.0543976,623.5245972,637.7124786
export_Specimen_001_B3_B03_015_Lymphocytes.fcs,B3,1.00E-08,IFN-alpha,5,617.4926605,1205.196289,1250.698044
export_Specimen_001_B4_B04_016_Lymphocytes.fcs,B4,6.00E-10,IFN-beta,5,649.7697906,1255.197021,1377.59787
export_Specimen_001_B5_B05_017_Lymphocytes.fcs,B5,1.00E-08,IFN-alpha,7.5,730.0320892,1431.696228,1590.614441
export_Specimen_001_B6_B06_018_Lymphocytes.fcs,B6,6.00E-10,IFN-beta,7.5,809.3407593,1561.955383,1750.587891
export_Specimen_001_B7_B07_019_Lymphocytes.fcs,B7,1.00E-08,IFN-alpha,10,751.2717133,1419.331635,1587.259827
export_Specimen_001_B8_B08_020_Lymphocytes.fcs,B8,6.00E-10,IFN-beta,10,915.7191162,1637.162872,1849.059082
export_Specimen_001_B9_B09_021_Lymphocytes.fcs,B9,1.00E-08,IFN-alpha,20,893.3081055,1448.881561,1761.908783
export_Specimen_001_B10_B10_022_Lymphocytes.fcs,B10,6.00E-10,IFN-beta,20,991.7321625,1674.444824,1937.300354
export_Specimen_001_B11_B11_023_Lymphocytes.fcs,B11,1.00E-08,IFN-alpha,60,764.8955536,972.2044983,1081.062866
