,Well,Concentration (Mol),Cytokine,Time (min),pSTAT1 in B cells,pSTAT1 in CD8+ T cells,pSTAT1 in CD4+ T cells
export_Specimen_001_A1_A01_001_Lymphocytes.fcs,A1,1e-07,IFN-alpha,2.5,508.5776672363281,995.9995727539062,1098.894775390625
export_Specimen_001_A2_A02_002_Lymphocytes.fcs,A2,2e-09,IFN-beta,2.5,514.8526611328125,1092.1336669921875,1101.6292724609375
export_Specimen_001_A3_A03_003_Lymphocytes.fcs,A3,1e-07,IFN-alpha,5.0,770.57666015625,1562.219970703125,1739.267333984375
export_Specimen_001_A4_A04_004_Lymphocytes.fcs,A4,2e-09,IFN-beta,5.0,890.2753295898438,1849.485107421875,1972.4727783203125
export_Specimen_001_A5_A05_005_Lymphocytes.fcs,A5,1e-07,IFN-alpha,7.5,1023.008544921875,1963.1513671875,2234.33935546875
export_Specimen_001_A6_A06_006_Lymphocytes.fcs,A6,2e-09,IFN-beta,7.5,1066.256103515625,1995.1051025390625,2180.787353515625
export_Specimen_001_A7_A07_007_Lymphocytes.fcs,A7,1e-07,IFN-alpha,10.0,1120.33349609375,2148.435791015625,2357.046875
export_Specimen_001_A8_A08_008_Lymphocytes.fcs,A8,2e-09,IFN-beta,10.0,1097.361572265625,2060.1904296875,2234.3349609375
export_Specimen_001_A9_A09_009_Lymphocytes.fcs,A9,1e-07,IFN-alpha,20.0,1236.408203125,2177.449951171875,2284.889892578125
export_Specimen_001_A10_A10_010_Lymphocytes.fcs,A10,2e-09,IFN-beta,20.0,1168.0718994140625,2052.68310546875,2170.100830078125
export_Specimen_001_A11_A11_011_Lymphocytes.fcs,A11,1e-07,IFN-alpha,60.0,1141.48583984375,1736.277587890625,1735.8935546875
export_Specimen_001_A12_A12_012_Lymphocytes.fcs,A12,2e-09,IFN-beta,60.0,1217.0833740234375,1799.361572265625,1667.2525634765625
export_Specimen_001_B1_B01_013_Lymphocytes.fcs,B1,1e-08,IFN-alpha,2.5,490.58123779296875,1003.51123046875,938.0700073242188
export_Specimen_001_B2_B02_014_Lymphocytes.fcs,B2,6e-10,IFN-beta,2.5,447.3822021484375,960.1792602539062,828.3113403320312
export_Specimen_001_B3_B03_015_Lymphocytes.fcs,B3,1e-08,IFN-alpha,5.0,746.852783203125,1606.852783203125,1495.88720703125
export_Specimen_001_B4_B04_016_Lymphocytes.fcs,B4,6e-10,IFN-beta,5.0,818.6737060546875,1659.4146728515625,1624.795654296875
export_Specimen_001_B5_B05_017_Lymphocytes.fcs,B5,1e-08,IFN-alpha,7.5,917.2830200195312,1935.0172119140625,1865.625244140625
export_Specimen_001_B6_B06_018_Lymphocytes.fcs,B6,6e-10,IFN-beta,7.5,963.9161376953125,2029.2890625,2019.1580810546875
export_Specimen_001_B7_B07_019_Lymphocytes.fcs,B7,1e-08,IFN-alpha,10.0,961.4960327148438,1907.2789306640625,1915.2222900390625
export_Specimen_001_B8_B08_020_Lymphocytes.fcs,B8,6e-10,IFN-beta,10.0,1072.978271484375,2060.369140625,2101.156494140625
export_Specimen_001_B9_B09_021_Lymphocytes.fcs,B9,1e-08,IFN-alpha,20.0,1101.6728515625,1954.502197265625,2089.203857421875
export_Specimen_001_B10_B10_022_Lymphocytes.fcs,B10,6e-10,IFN-beta,20.0,1152.5811767578125,2119.980224609375,2205.93408203125
export_Specimen_001_B11_B11_023_Lymphocytes.fcs,B11,1e-08,IFN-alpha,60.0,963.035888671875,1481.2991943359375,1441.03369140625
export_Specimen_001_B12_B12_024_Lymphocytes.fcs,B12,6e-10,IFN-beta,60.0,1048.9542236328125,1609.9527587890625,1526.31201171875
export_Specimen_001_C1_C01_025_Lymphocytes.fcs,C1,3e-09,IFN-alpha,2.5,397.9278564453125,842.6759033203125,725.9578857421875
export_Specimen_001_C2_C02_026_Lymphocytes.fcs,C2,2e-10,IFN-beta,2.5,261.1314697265625,627.7460327148438,495.9561767578125
export_Specimen_001_C3_C03_027_Lymphocytes.fcs,C3,3e-09,IFN-alpha,5.0,599.6123657226562,1348.0142822265625,1257.4307861328125
export_Specimen_001_C4_C04_028_Lymphocytes.fcs,C4,2e-10,IFN-beta,5.0,525.9363403320312,1260.4539794921875,1118.255126953125
export_Specimen_001_C5_C05_029_Lymphocytes.fcs,C5,3e-09,IFN-alpha,7.5,744.8103637695312,1652.9658203125,1588.476318359375
export_Specimen_001_C6_C06_030_Lymphocytes.fcs,C6,2e-10,IFN-beta,7.5,674.7599487304688,1531.2706298828125,1443.9232177734375
export_Specimen_001_C7_C07_031_Lymphocytes.fcs,C7,3e-09,IFN-alpha,10.0,846.7694702148438,1719.2518310546875,1733.440185546875
export_Specimen_001_C8_C08_032_Lymphocytes.fcs,C8,2e-10,IFN-beta,10.0,853.906982421875,1639.994384765625,1699.495849609375
export_Specimen_001_C9_C09_033_Lymphocytes.fcs,C9,3e-09,IFN-alpha,20.0,906.667724609375,1601.9091796875,1675.5443115234375
export_Specimen_001_C10_C10_034_Lymphocytes.fcs,C10,2e-10,IFN-beta,20.0,923.18359375,1696.0098876953125,1806.707275390625
export_Specimen_001_C11_C11_035_Lymphocytes.fcs,C11,3e-09,IFN-alpha,60.0,825.787353515625,1290.6278076171875,1275.148193359375
export_Specimen_001_C12_C12_036_Lymphocytes.fcs,C12,2e-10,IFN-beta,60.0,885.7276611328125,1337.80517578125,1411.1259765625
export_Specimen_001_D1_D01_037_Lymphocytes.fcs,D1,1e-09,IFN-alpha,2.5,256.18206787109375,632.05224609375,554.9274291992188
export_Specimen_001_D2_D02_038_Lymphocytes.fcs,D2,6e-11,IFN-beta,2.5,137.2661590576172,430.2009582519531,332.5865478515625
