,Well,Concentration (Mol),Cytokine,Time (min),pSTAT1 in B cells,pSTAT1 in CD8+ T cells,pSTAT1 in CD4+ T cells
export_Specimen_001_A1_A01_001_Lymphocytes.fcs,A1,1.00E-07,IFN-alpha,2.5,1197.540271,2205.518578,1659.983503
export_Specimen_001_A2_A02_002_Lymphocytes.fcs,A2,2.00E-09,IFN-beta,2.5,1196.906651,2324.538355,1638.606641
export_Specimen_001_A3_A03_003_Lymphocytes.fcs,A3,1.00E-07,IFN-alpha,5,1177.118622,2149.521665,1648.848861
export_Specimen_001_A4_A04_004_Lymphocytes.fcs,A4,2.00E-09,IFN-beta,5,1361.761998,2674.510159,1997.398503
export_Specimen_001_A5_A05_005_Lymphocytes.fcs,A5,1.00E-07,IFN-alpha,7.5,1201.832957,2321.120576,1802.469081
export_Specimen_001_A6_A06_006_Lymphocytes.fcs,A6,2.00E-09,IFN-beta,7.5,1409.947219,2858.553362,2234.638745
export_Specimen_001_A7_A07_007_Lymphocytes.fcs,A7,1.00E-07,IFN-alpha,10,1460.922119,2863.77779,2271.535909
export_Specimen_001_A8_A08_008_Lymphocytes.fcs,A8,2.00E-09,IFN-beta,10,1422.483881,3022.64577,2326.688279
export_Specimen_001_A9_A09_009_Lymphocytes.fcs,A9,1.00E-07,IFN-alpha,20,1306.53338,2518.314612,2081.975525
export_Specimen_001_A10_A10_010_Lymphocytes.fcs,A10,2.00E-09,IFN-beta,20,1555.230305,2989.508512,2388.533748
export_Specimen_001_A11_A11_011_Lymphocytes.fcs,A11,1.00E-07,IFN-alpha,60,944.9438388,1387.065536,1225.094202
export_Specimen_001_A12_A12_012_Lymphocytes.fcs,A12,2.00E-09,IFN-beta,60,1073.946576,1594.378767,1449.452502
export_Specimen_001_B1_B01_013_Lymphocytes.fcs,B1,1.00E-08,IFN-alpha,2.5,926.4580521,1836.874488,1205.215113
export_Specimen_001_B2_B02_014_Lymphocytes.fcs,B2,6.00E-10,IFN-beta,2.5,798.0941035,1598.414226,1063.361048
export_Specimen_001_B3_B03_015_Lymphocytes.fcs,B3,1.00E-08,IFN-alpha,5,900.2107503,1729.125386,1251.419159
export_Specimen_001_B4_B04_016_Lymphocytes.fcs,B4,6.00E-10,IFN-beta,5,980.5717607,2117.143867,1447.451197
export_Specimen_001_B5_B05_017_Lymphocytes.fcs,B5,1.00E-08,IFN-alpha,7.5,1030.184031,2190.84858,1532.989644
export_Specimen_001_B6_B06_018_Lymphocytes.fcs,B6,6.00E-10,IFN-beta,7.5,1075.563055,2378.251953,1675.769418
export_Specimen_001_B7_B07_019_Lymphocytes.fcs,B7,1.00E-08,IFN-alpha,10,1136.867557,2440.368507,1731.823179
export_Specimen_001_B8_B08_020_Lymphocytes.fcs,B8,6.00E-10,IFN-beta,10,1198.750775,2842.64512,1992.365464
export_Specimen_001_B9_B09_021_Lymphocytes.fcs,B9,1.00E-08,IFN-alpha,20,999.3994359,1970.355648,1563.451425
export_Specimen_001_B10_B10_022_Lymphocytes.fcs,B10,6.00E-10,IFN-beta,20,1178.164418,2476.002349,1886.724921
export_Specimen_001_B11_B11_023_Lymphocytes.fcs,B11,1.00E-08,IFN-alpha,60,735.191618,1168.030349,1047.756706
export_Specimen_001_B12_B12_024_Lymphocytes.fcs,B12,6.00E-10,IFN-beta,60,847.3792721,1361.126611,1157.217968
export_Specimen_001_C1_C01_025_Lymphocytes.fcs,C1,3.00E-09,IFN-alpha,2.5,660.4795142,1346.97597,838.1876096
export_Specimen_001_C2_C02_026_Lymphocytes.fcs,C2,2.00E-10,IFN-beta,2.5,341.1375336,713.9111919,475.9586081
export_Specimen_001_C3_C03_027_Lymphocytes.fcs,C3,3.00E-09,IFN-alpha,5,708.9520515,1422.472188,973.3280648
export_Specimen_001_C4_C04_028_Lymphocytes.fcs,C4,2.00E-10,IFN-beta,5,483.150484,1090.989997,717.2916653
export_Specimen_001_C5_C05_029_Lymphocytes.fcs,C5,3.00E-09,IFN-alpha,7.5,758.346064,1799.027033,1169.908471
export_Specimen_001_C6_C06_030_Lymphocytes.fcs,C6,2.00E-10,IFN-beta,7.5,698.4405977,1623.054466,1101.79765
export_Specimen_001_C7_C07_031_Lymphocytes.fcs,C7,3.00E-09,IFN-alpha,10,956.6964905,2271.726499,1480.208888
export_Specimen_001_C8_C08_032_Lymphocytes.fcs,C8,2.00E-10,IFN-beta,10,982.5310073,2243.766353,1530.574672
export_Specimen_001_C9_C09_033_Lymphocytes.fcs,C9,3.00E-09,IFN-alpha,20,873.1669698,1901.917929,1360.479347
export_Specimen_001_C10_C10_034_Lymphocytes.fcs,C10,2.00E-10,IFN-beta,20,1111.718554,2479.17692,1810.286623
export_Specimen_001_C11_C11_035_Lymphocytes.fcs,C11,3.00E-09,IFN-alpha,60,656.369367,1071.366741,873.773154
export_Specimen_001_C12_C12_036_Lymphocytes.fcs,C12,2.00E-10,IFN-beta,60,735.3784594,1147.653518,1011.294506
export_Specimen_001_D1_D01_037_Lymphocytes.fcs,D1,1.00E-09,IFN-alpha,2.5,509.3960022,1092.269884,639.4161281
export_Specimen_001_D2_D02_038_Lymphocytes.fcs,D2,6.00E-11,IFN-beta,2.5,123.9289719,250.813117,166.6137128
export_Specimen_001_D3_D03_039_Lymphocytes.fcs,D3,1.00E-09,IFN-alpha,5,484.1183484,1044.96816,640.3740541
export_Specimen_001_D4_D04_040_Lymphocytes.fcs,D4,6.00E-11,IFN-beta,5,156.8216166,368.5075949,257.0307336
export_Specimen_001_D5_D05_041_Lymphocytes.fcs,D5,1.00E-09,IFN-alpha,7.5,627.8877044,1381.988076,878.851868
export_Specimen_001_D6_D06_042_Lymphocytes.fcs,D6,6.00E-11,IFN-beta,7.5,304.6188921,674.4623982,460.3261267
export_Specimen_001_D7_D07_043_Lymphocytes.fcs,D7,1.00E-09,IFN-alpha,10,840.338312,1897.07847,1180.298157
export_Specimen_001_D8_D08_044_Lymphocytes.fcs,D8,6.00E-11,IFN-beta,10,523.071298,1086.376533,710.796852
