,Well,Concentration (Mol),Cytokine,Time (min),pSTAT1 in B cells,pSTAT1 in CD8+ T cells,pSTAT1 in CD4+ T cells
export_Specimen_001_A10_A10_010_Lymphocytes.fcs,A10,0.0,IFN-alpha,5.0,302.5953063964844,571.60791015625,414.4677429199219
export_Specimen_001_A11_A11_011_Lymphocytes.fcs,A11,0.0,IFN-beta,2.5,217.70419311523438,394.47491455078125,309.5932312011719
export_Specimen_001_A12_A12_012_Lymphocytes.fcs,A12,0.0,IFN-alpha,2.5,252.4385528564453,471.7108459472656,349.79437255859375
export_Specimen_001_A1_A01_001_Lymphocytes.fcs,A1,0.0,IFN-beta,60.0,179.23719787597656,320.43487548828125,305.9718933105469
export_Specimen_001_A2_A02_002_Lymphocytes.fcs,A2,0.0,IFN-alpha,60.0,310.92071533203125,483.156982421875,412.69244384765625
export_Specimen_001_A3_A03_003_Lymphocytes.fcs,A3,0.0,IFN-beta,20.0,226.11253356933594,413.82574462890625,341.8973693847656
export_Specimen_001_A4_A04_004_Lymphocytes.fcs,A4,0.0,IFN-alpha,20.0,285.6279296875,520.7569580078125,426.2494201660156
export_Specimen_001_A5_A05_005_Lymphocytes.fcs,A5,0.0,IFN-beta,10.0,254.5360565185547,451.01708984375,357.4129638671875
export_Specimen_001_A6_A06_006_Lymphocytes.fcs,A6,0.0,IFN-alpha,10.0,296.54620361328125,511.932373046875,426.2691345214844
export_Specimen_001_A7_A07_007_Lymphocytes.fcs,A7,0.0,IFN-beta,7.5,241.47763061523438,466.36419677734375,386.3563537597656
export_Specimen_001_A8_A08_008_Lymphocytes.fcs,A8,0.0,IFN-alpha,7.5,303.8711853027344,564.6575927734375,430.0832214355469
export_Specimen_001_A9_A09_009_Lymphocytes.fcs,A9,0.0,IFN-beta,5.0,235.36691284179688,440.7020568847656,338.4770812988281
export_Specimen_001_B10_B10_022_Lymphocytes.fcs,B10,1e-11,IFN-alpha,5.0,251.51290893554688,519.6979370117188,380.2687072753906
export_Specimen_001_B11_B11_023_Lymphocytes.fcs,B11,2e-13,IFN-beta,2.5,217.1978759765625,389.6811828613281,310.14111328125
export_Specimen_001_B12_B12_024_Lymphocytes.fcs,B12,1e-11,IFN-alpha,2.5,315.68560791015625,470.965576171875,370.31390380859375
export_Specimen_001_B1_B01_013_Lymphocytes.fcs,B1,2e-13,IFN-beta,60.0,296.89923095703125,357.68798828125,377.54156494140625
export_Specimen_001_B2_B02_014_Lymphocytes.fcs,B2,1e-11,IFN-alpha,60.0,467.7635192871094,481.82647705078125,444.00714111328125
export_Specimen_001_B3_B03_015_Lymphocytes.fcs,B3,2e-13,IFN-beta,20.0,251.03506469726562,439.4635314941406,357.15179443359375
export_Specimen_001_B4_B04_016_Lymphocytes.fcs,B4,1e-11,IFN-alpha,20.0,470.46728515625,613.8519897460938,480.94940185546875
export_Specimen_001_B5_B05_017_Lymphocytes.fcs,B5,2e-13,IFN-beta,10.0,241.14163208007812,416.6091003417969,375.7843017578125
export_Specimen_001_B6_B06_018_Lymphocytes.fcs,B6,1e-11,IFN-alpha,10.0,330.1209411621094,521.395751953125,411.1689758300781
