,Well,Concentration (Mol),Cytokine,Time (min),pSTAT1 in B cells,pSTAT1 in CD8+ T cells,pSTAT1 in CD4+ T cells
export_Specimen_001_B7_B07_019_Lymphocytes.fcs,B7,2e-13,IFN-beta,7.5,289.2061767578125,514.961669921875,427.0157775878906
export_Specimen_001_B8_B08_020_Lymphocytes.fcs,B8,1e-11,IFN-alpha,7.5,292.2659606933594,532.78564453125,395.2825012207031
export_Specimen_001_B9_B09_021_Lymphocytes.fcs,B9,2e-13,IFN-beta,5.0,285.64373779296875,496.88409423828125,392.08709716796875
export_Specimen_001_C10_C10_034_Lymphocytes.fcs,C10,1e-10,IFN-alpha,5.0,425.0867919921875,603.216552734375,468.36322021484375
export_Specimen_001_C11_C11_035_Lymphocytes.fcs,C11,6e-12,IFN-beta,2.5,245.27476501464844,411.0860595703125,330.4048767089844
export_Specimen_001_C12_C12_036_Lymphocytes.fcs,C12,1e-10,IFN-alpha,2.5,329.51922607421875,470.0219421386719,379.6961364746094
export_Specimen_001_C1_C01_025_Lymphocytes.fcs,C1,6e-12,IFN-beta,60.0,368.942138671875,365.5998229980469,399.1275634765625
export_Specimen_001_C2_C02_026_Lymphocytes.fcs,C2,1e-10,IFN-alpha,60.0,551.2039184570312,444.4580993652344,507.0390930175781
export_Specimen_001_C3_C03_027_Lymphocytes.fcs,C3,6e-12,IFN-beta,20.0,326.7915344238281,434.12371826171875,386.25909423828125
export_Specimen_001_C4_C04_028_Lymphocytes.fcs,C4,1e-10,IFN-alpha,20.0,806.928466796875,804.2491455078125,682.1492309570312
export_Specimen_001_C5_C05_029_Lymphocytes.fcs,C5,6e-12,IFN-beta,10.0,273.72003173828125,436.4796142578125,376.7351989746094
export_Specimen_001_C6_C06_030_Lymphocytes.fcs,C6,1e-10,IFN-alpha,10.0,624.977294921875,685.3773803710938,578.4103393554688
export_Specimen_001_C7_C07_031_Lymphocytes.fcs,C7,6e-12,IFN-beta,7.5,290.3224792480469,535.8744506835938,402.6553955078125
export_Specimen_001_C8_C08_032_Lymphocytes.fcs,C8,1e-10,IFN-alpha,7.5,517.237548828125,681.8331298828125,529.0174560546875
export_Specimen_001_C9_C09_033_Lymphocytes.fcs,C9,6e-12,IFN-beta,5.0,301.2478942871094,487.1556701660156,390.08221435546875
export_Specimen_001_D10_D10_046_Lymphocytes.fcs,D10,3e-10,IFN-alpha,5.0,529.6939086914062,667.4602661132812,521.3084716796875
export_Specimen_001_D11_D11_047_Lymphocytes.fcs,D11,2e-11,IFN-beta,2.5,253.81442260742188,412.37298583984375,343.90081787109375
export_Specimen_001_D12_D12_048_Lymphocytes.fcs,D12,3e-10,IFN-alpha,2.5,366.5039978027344,500.595947265625,385.8625793457031
export_Specimen_001_D1_D01_037_Lymphocytes.fcs,D1,2e-11,IFN-beta,60.0,506.8432922363281,466.9955139160156,490.8950500488281
export_Specimen_001_D2_D02_038_Lymphocytes.fcs,D2,3e-10,IFN-alpha,60.0,676.7293701171875,598.418701171875,656.8798217773438
export_Specimen_001_D3_D03_039_Lymphocytes.fcs,D3,2e-11,IFN-beta,20.0,562.8701782226562,655.367431640625,525.980712890625
export_Specimen_001_D4_D04_040_Lymphocytes.fcs,D4,3e-10,IFN-alpha,20.0,1070.3221435546875,1096.6846923828125,943.278076171875
export_Specimen_001_D5_D05_041_Lymphocytes.fcs,D5,2e-11,IFN-beta,10.0,390.1043395996094,538.889892578125,424.7378845214844
export_Specimen_001_D6_D06_042_Lymphocytes.fcs,D6,3e-10,IFN-alpha,10.0,812.15087890625,900.5505981445312,738.096435546875
export_Specimen_001_D7_D07_043_Lymphocytes.fcs,D7,2e-11,IFN-beta,7.5,289.0209045410156,490.14398193359375,365.80682373046875
export_Specimen_001_D8_D08_044_Lymphocytes.fcs,D8,3e-10,IFN-alpha,7.5,586.512451171875,727.36083984375,572.0891723632812
export_Specimen_001_D9_D09_045_Lymphocytes.fcs,D9,2e-11,IFN-beta,5.0,278.41461181640625,469.72686767578125,362.659912109375
export_Specimen_001_E10_E10_058_Lymphocytes.fcs,E10,1e-09,IFN-alpha,5.0,539.6639404296875,647.5508422851562,535.5722045898438
export_Specimen_001_E11_E11_059_Lymphocytes.fcs,E11,6e-11,IFN-beta,2.5,250.2728729248047,393.8160095214844,332.8211975097656
export_Specimen_001_E12_E12_060_Lymphocytes.fcs,E12,1e-09,IFN-alpha,2.5,442.86614990234375,565.6077270507812,459.41265869140625
export_Specimen_001_E1_E01_049_Lymphocytes.fcs,E1,6e-11,IFN-beta,60.0,692.0162353515625,687.302734375,684.0169067382812
export_Specimen_001_E2_E02_050_Lymphocytes.fcs,E2,1e-09,IFN-alpha,60.0,591.0877075195312,603.4547729492188,641.0970458984375
export_Specimen_001_E3_E03_051_Lymphocytes.fcs,E3,6e-11,IFN-beta,20.0,662.3759765625,680.3963012695312,633.1988525390625
export_Specimen_001_E4_E04_052_Lymphocytes.fcs,E4,1e-09,IFN-alpha,20.0,1028.5150146484375,1000.2111206054688,974.4417724609375
export_Specimen_001_E5_E05_053_Lymphocytes.fcs,E5,6e-11,IFN-beta,10.0,396.62359619140625,535.4522094726562,448.29449462890625
export_Specimen_001_E6_E06_054_Lymphocytes.fcs,E6,1e-09,IFN-alpha,10.0,894.7793579101562,907.1329956054688,866.9815063476562
export_Specimen_001_E7_E07_055_Lymphocytes.fcs,E7,6e-11,IFN-beta,7.5,331.944580078125,511.6549072265625,408.20098876953125
export_Specimen_001_E8_E08_056_Lymphocytes.fcs,E8,1e-09,IFN-alpha,7.5,756.58203125,951.26220703125,741.3057861328125
export_Specimen_001_E9_E09_057_Lymphocytes.fcs,E9,6e-11,IFN-beta,5.0,290.8716125488281,509.0677490234375,394.60455322265625
export_Specimen_001_F10_F10_070_Lymphocytes.fcs,F10,3e-09,IFN-alpha,5.0,665.1510620117188,755.2559204101562,600.7199096679688
export_Specimen_001_F11_F11_071_Lymphocytes.fcs,F11,2e-10,IFN-beta,2.5,279.83837890625,442.248046875,347.4530944824219
export_Specimen_001_F12_F12_072_Lymphocytes.fcs,F12,3e-09,IFN-alpha,2.5,568.2879028320312,682.1837158203125,553.3140258789062
export_Specimen_001_F1_F01_061_Lymphocytes.fcs,F1,2e-10,IFN-beta,60.0,634.7200317382812,650.3516235351562,687.6531982421875
export_Specimen_001_F2_F02_062_Lymphocytes.fcs,F2,3e-09,IFN-alpha,60.0,586.4660034179688,628.1613159179688,681.1611328125
export_Specimen_001_F3_F03_063_Lymphocytes.fcs,F3,2e-10,IFN-beta,20.0,861.4874267578125,799.90283203125,863.499755859375
export_Specimen_001_F4_F04_064_Lymphocytes.fcs,F4,3e-09,IFN-alpha,20.0,1039.8115234375,999.1333618164062,1043.9727783203125
export_Specimen_001_F5_F05_065_Lymphocytes.fcs,F5,2e-10,IFN-beta,10.0,667.428466796875,699.802978515625,673.2757568359375
export_Specimen_001_F6_F06_066_Lymphocytes.fcs,F6,3e-09,IFN-alpha,10.0,992.05078125,969.5968627929688,940.2755737304688
export_Specimen_001_F7_F07_067_Lymphocytes.fcs,F7,2e-10,IFN-beta,7.5,583.9080810546875,722.6068115234375,606.3761596679688
export_Specimen_001_F8_F08_068_Lymphocytes.fcs,F8,3e-09,IFN-alpha,7.5,859.3170776367188,1007.8323974609375,865.4850463867188
export_Specimen_001_F9_F09_069_Lymphocytes.fcs,F9,2e-10,IFN-beta,5.0,369.4910888671875,536.4869995117188,434.1473083496094
export_Specimen_001_G10_G10_082_Lymphocytes.fcs,G10,1e-08,IFN-alpha,5.0,731.3436279296875,805.6162719726562,656.8898315429688
export_Specimen_001_G11_G11_083_Lymphocytes.fcs,G11,6e-10,IFN-beta,2.5,458.56915283203125,522.101806640625,408.8276672363281
export_Specimen_001_G12_G12_084_Lymphocytes.fcs,G12,1e-08,IFN-alpha,2.5,631.2697143554688,681.2861938476562,539.6114501953125
export_Specimen_001_G1_G01_073_Lymphocytes.fcs,G1,6e-10,IFN-beta,60.0,664.470458984375,669.9052124023438,695.9653930664062
export_Specimen_001_G2_G02_074_Lymphocytes.fcs,G2,1e-08,IFN-alpha,60.0,809.571533203125,811.3790283203125,874.46240234375
export_Specimen_001_G3_G03_075_Lymphocytes.fcs,G3,6e-10,IFN-beta,20.0,1024.3001708984375,996.9732055664062,1062.537841796875
export_Specimen_001_G4_G04_076_Lymphocytes.fcs,G4,1e-08,IFN-alpha,20.0,1092.5185546875,1067.23828125,1094.7227783203125
export_Specimen_001_G5_G05_077_Lymphocytes.fcs,G5,6e-10,IFN-beta,10.0,949.9209594726562,919.7581176757812,972.774658203125
export_Specimen_001_G6_G06_078_Lymphocytes.fcs,G6,1e-08,IFN-alpha,10.0,1075.166748046875,1013.2547607421875,1071.330078125
export_Specimen_001_G7_G07_079_Lymphocytes.fcs,G7,6e-10,IFN-beta,7.5,888.6000366210938,958.3167114257812,862.7852783203125
export_Specimen_001_G8_G08_080_Lymphocytes.fcs,G8,1e-08,IFN-alpha,7.5,1075.0411376953125,1151.5428466796875,1095.1859130859375
export_Specimen_001_G9_G09_081_Lymphocytes.fcs,G9,6e-10,IFN-beta,5.0,708.917236328125,715.7908935546875,649.4346923828125
export_Specimen_001_H10_H10_094_Lymphocytes.fcs,H10,1e-07,IFN-alpha,5.0,954.5719604492188,954.981689453125,817.70849609375
export_Specimen_001_H11_H11_095_Lymphocytes.fcs,H11,2e-09,IFN-beta,2.5,663.5006713867188,661.3218994140625,604.3203735351562
export_Specimen_001_H12_H12_096_Lymphocytes.fcs,H12,1e-07,IFN-alpha,2.5,806.9780883789062,821.1590576171875,690.0098876953125
export_Specimen_001_H1_H01_085_Lymphocytes.fcs,H1,2e-09,IFN-beta,60.0,752.1403198242188,833.5433349609375,825.1485595703125
export_Specimen_001_H2_H02_086_Lymphocytes.fcs,H2,1e-07,IFN-alpha,60.0,871.7301025390625,875.7651977539062,857.2221069335938
export_Specimen_001_H3_H03_087_Lymphocytes.fcs,H3,2e-09,IFN-beta,20.0,1155.775390625,1033.185302734375,1148.5810546875
export_Specimen_001_H4_H04_088_Lymphocytes.fcs,H4,1e-07,IFN-alpha,20.0,1193.538330078125,1164.0113525390625,1208.427001953125
export_Specimen_001_H5_H05_089_Lymphocytes.fcs,H5,2e-09,IFN-beta,10.0,1185.4818115234375,1103.2384033203125,1156.3382568359375
export_Specimen_001_H6_H06_090_Lymphocytes.fcs,H6,1e-07,IFN-alpha,10.0,1224.656005859375,1206.281982421875,1197.87890625
export_Specimen_001_H7_H07_091_Lymphocytes.fcs,H7,2e-09,IFN-beta,7.5,1207.1007080078125,1229.4473876953125,1200.1744384765625
export_Specimen_001_H8_H08_092_Lymphocytes.fcs,H8,1e-07,IFN-alpha,7.5,1333.2347412109375,1407.126708984375,1271.7144775390625
export_Specimen_001_H9_H09_093_Lymphocytes.fcs,H9,2e-09,IFN-beta,5.0,1016.5979614257812,966.849365234375,978.0018920898438
