,Well,Concentration (Mol),Cytokine,Time (min),pSTAT1 in B cells,pSTAT1 in CD8+ T cells,pSTAT1 in CD4+ T cells
export_Specimen_001_A1_A01_001_Lymphocytes.fcs,A1,1e-07,IFN-alpha,2.5,2356.95703125,4156.53076171875,4839.11474609375
export_Specimen_001_A2_A02_002_Lymphocytes.fcs,A2,2e-09,IFN-beta,2.5,2712.165771484375,4869.6923828125,5483.15283203125
export_Specimen_001_A3_A03_003_Lymphocytes.fcs,A3,1e-07,IFN-alpha,5.0,3421.342529296875,5881.17333984375,6619.908203125
export_Specimen_001_A4_A04_004_Lymphocytes.fcs,A4,2e-09,IFN-beta,5.0,3775.764404296875,6031.10595703125,7398.95703125
export_Specimen_001_A5_A05_005_Lymphocytes.fcs,A5,1e-07,IFN-alpha,7.5,4109.5712890625,7210.69970703125,7527.646484375
export_Specimen_001_A6_A06_006_Lymphocytes.fcs,A6,2e-09,IFN-beta,7.5,4693.92236328125,8527.078125,8563.10546875
export_Specimen_001_A7_A07_007_Lymphocytes.fcs,A7,1e-07,IFN-alpha,10.0,5496.4091796875,8736.1962890625,9254.890625
export_Specimen_001_A8_A08_008_Lymphocytes.fcs,A8,2e-09,IFN-beta,10.0,5568.88916015625,9333.955078125,9590.5166015625
export_Specimen_001_A9_A09_009_Lymphocytes.fcs,A9,1e-07,IFN-alpha,20.0,4899.7392578125,8012.49609375,7454.1435546875
export_Specimen_001_A10_A10_010_Lymphocytes.fcs,A10,2e-09,IFN-beta,20.0,4713.70068359375,7684.4365234375,7266.22119140625
export_Specimen_001_A11_A11_011_Lymphocytes.fcs,A11,1e-07,IFN-alpha,60.0,2835.88134765625,4202.900390625,5049.33740234375
export_Specimen_001_A12_A12_012_Lymphocytes.fcs,A12,2e-09,IFN-beta,60.0,2432.28271484375,3641.7431640625,4543.58251953125
export_Specimen_001_B1_B01_013_Lymphocytes.fcs,B1,1e-08,IFN-alpha,2.5,2127.69921875,3715.259765625,4479.55712890625
export_Specimen_001_B2_B02_014_Lymphocytes.fcs,B2,6e-10,IFN-beta,2.5,1752.65283203125,3329.270263671875,3905.004638671875
export_Specimen_001_B3_B03_015_Lymphocytes.fcs,B3,1e-08,IFN-alpha,5.0,2970.272216796875,5614.466796875,6102.2568359375
export_Specimen_001_B4_B04_016_Lymphocytes.fcs,B4,6e-10,IFN-beta,5.0,2935.214111328125,5167.35400390625,5973.623046875
export_Specimen_001_B5_B05_017_Lymphocytes.fcs,B5,1e-08,IFN-alpha,7.5,3282.79443359375,6353.84521484375,6331.62158203125
export_Specimen_001_B6_B06_018_Lymphocytes.fcs,B6,6e-10,IFN-beta,7.5,3813.352294921875,7206.73291015625,7185.36279296875
