,variable,GR Statistic
0,kpa,1.0795865324089
1,kSOCSon,1.0173148882716965
2,kd4,1.0145309404017682
3,k_d4,1.0190596986778475
4,delR,1.0485521800615711
5,gamma,1.0757863338740667
