,variable,GR Diagnostic
0,kpa,1.0577871257775906
1,kSOCSon,1.0902644190590831
2,kd4,1.0341735816438573
3,k_d4,1.0844431873842137
4,delR,1.2292098225315566
5,gamma,1.1993066416555678
