,kpa,kSOCSon,kd4,k_d4,delR,gamma
0,1.098742490518547e-05,2.012820290906584e-06,0.6861662822062083,0.5989275081063261,297.02849666864677,1.1430046453840252
1,1.0951735174464189e-05,2.632597583513577e-06,0.6898244195136305,0.5164515771986362,-2196.385164591815,1.5716551035578405
2,1.082081750394574e-05,1.8242775905398345e-06,0.662029742996791,0.6280961242120398,-220.52689450931655,1.1527465919294066
3,1.019783915387426e-05,2.717663866269755e-06,0.8157352944622647,0.6654157610835517,-1357.4087176578166,1.5178407697469325
4,8.460115696236254e-06,2.9982793859747763e-06,0.704494277206877,0.595942159282828,-1406.540711516187,1.6642101306890904
5,1.068688751072341e-05,2.392294967124203e-06,0.634422368582585,0.5299004876937408,-1388.8144527802003,1.3239969010352641
6,8.871702793938205e-06,3.1063585884900998e-06,0.5309781978958872,0.4452043867725204,-990.8017837156746,1.3969243101956035
7,7.818782683031605e-06,2.9409332076588616e-06,0.6250251489671981,0.5944794822563613,62.5935106727548,1.4826287556062163
8,9.891905629942695e-06,2.217273916344263e-06,0.7223406243788947,0.7062646729299079,-612.6991722209817,1.3514539462029134
9,8.599272908088733e-06,2.477767890200581e-06,0.5613055164152149,0.4391317148985342,-1711.914489687789,1.5080500638650052
