,variable,GR Statistic
0,kpa,1.245119549526551
1,kSOCSon,1.1268144536422169
2,kd4,1.2091268748762571
3,k_d4,1.1314002802725813
4,delR,1.2742414586806012
5,gamma,1.1849137631726394
