,kpa,kSOCSon,R1_mu*,R1_std*,R2_mu*,R2_std*,kint_a,kint_b,krec_a1,krec_a2
count,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0
mean,-6.092543444343079,-6.226683465478712,3.2949655891707903,-0.6921623462125732,3.26824339736498,-0.7010529857803931,-3.2713114393959803,-3.6495420032299224,-3.0254100346496435,-2.3676640189852773
std,0.8729968246823884,0.931194085707192,0.18545076273434855,0.0886163285835587,0.1735375314893265,0.09134526154034203,0.9504896960787903,0.9201961452744392,0.8990343973182662,0.9722620276301998
min,-8.489659974573888,-8.596792402231797,2.5510720261510813,-0.9463129259909526,2.68407405270006,-0.985987707066888,-6.5718158674217,-6.492653626182747,-5.959423268227548,-4.673168470833
25%,-6.6982099591800175,-6.847082336770766,3.1790744058815066,-0.7510318132606392,3.161005703500714,-0.7652723682912673,-3.8707004848263082,-4.371274241938025,-3.7189855966195413,-3.0161542985788214
50%,-6.069064524442566,-6.299858079621416,3.2912740021336226,-0.6941068542533171,3.2586684618954846,-0.701226262558972,-3.220287751423985,-3.7042428587131857,-2.998167990626266,-2.4707385077410438
75%,-5.496748551735646,-5.643640921325583,3.4175177114782764,-0.6312016018465889,3.3901469803945106,-0.641984485296869,-2.5965754388782507,-2.988422942326684,-2.4643152464363123,-1.7478538210432042
max,-3.68226398335866,-3.469320610182479,3.8012855900596896,-0.43433785219582516,3.7678370351089123,-0.4593990336625538,-0.8262120474827211,-0.8103826286455525,-0.31254182724591567,0.25529466987170746
