,kpa,kSOCSon,kd4,k_d4,R1_1,R2_1,R1_2,R2_2
count,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
mean,-1.2110778664280744,-6.27430557803964,0.07797400816613281,0.005722589422544288,3.376633342454966,-1.3362124007952703,3.1839921017720494,3.199871035438875
std,0.7290766361775757,0.052870987729815674,0.2830272295720788,0.31206511049083824,0.1648978896046305,0.7186527349806252,0.9072915013391083,0.9708317117318205
min,-3.443799232812816,-6.4375279844466515,-0.7315272360091675,-1.0792677472934233,2.9073063234936987,-3.6904784795359866,-0.1428031132970192,-0.0487390055582315
25%,-1.6984594094344865,-6.309986918773941,-0.12179684082255521,-0.20257300097007902,3.269397799830389,-1.835758025577739,2.559690387382763,2.531525984956908
50%,-1.2269202777343216,-6.273798285917889,0.0739001230596357,0.00328237694010224,3.3760463795914877,-1.3426430101029354,3.1602262527216656,3.2081638240964514
75%,-0.7198574521873836,-6.237719654430942,0.2704638193044303,0.21531120978904483,3.4868214538749456,-0.8648563050926641,3.7825227465602906,3.8739997918679188
max,0.9889148227758078,-6.090381393482273,0.9983379434671024,1.0091199851474684,3.8988518163293597,0.8840586655461833,7.16756196029196,5.929646514417384
