,variable,GR Statistic
0,kpa,1.0633183220160576
1,kSOCSon,1.0357259913138577
2,kd4,1.0104964350640953
3,k_d4,1.0080904254894267
4,delR,1.0377765341825946
5,gamma,1.0329049029728594
