,variable,GR Diagnostic
0,kpa,1.1331444660557464
1,kSTATbinding,1.0253782304751737
2,kSOCSon,1.0590250059170003
3,kd4,1.1292534952320772
4,k_d4,1.0266672257813825
5,delR,2.2591166215156817
6,meanR,1.9527063532222015
7,kloc,1.3301443707655354
8,kSOCSmRNA,1.5124922233526856
9,mRNAdeg,1.968386541835432
10,mRNAtrans,1.1076650217910178
11,kSOCS,1.2229401350001763
12,gamma,1.0280495393049107
