,kpa,kSOCSon,kd4,k_d4,R1,R2,kint_a,kint_b,krec_a2,krec_b2
count,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0
mean,-5.769451593569733,-6.0481410451680535,-0.38373918266422846,-2.2080453062957317,3.331504688805595,3.3285362772180167,-3.245198339917519,-3.4720899220058565,-2.306848543773354,-2.8538239821205607
std,0.8346673876888433,0.9674381592214809,0.2990868893074269,0.24318002279651185,0.3171889928680188,0.2687578567591848,0.7447463597036736,0.9836526757924592,0.7819164546816586,0.8815317920529466
min,-8.073032739406907,-8.048877907434683,-1.2961991573920548,-2.9710989919735082,2.5175547473686484,2.7211246634807527,-5.267432314732839,-5.849912217677546,-4.691241383134356,-5.022287105218532
25%,-6.255892344365527,-6.704289268358939,-0.5881415640055913,-2.3532762738612214,3.079897666927097,3.146648063739556,-3.8068972324543218,-4.14226012113791,-2.779148970164938,-3.449853827089514
50%,-5.79516770211266,-6.082489787099151,-0.39867051823141386,-2.241532129020632,3.368319575206135,3.325726010949982,-3.165210638763959,-3.6236804478890106,-2.1886548197782316,-2.95620326677967
75%,-5.190441309686888,-5.459248420179182,-0.13890174906165056,-2.055354381183858,3.544197352535061,3.4996264231629466,-2.6625728881519897,-2.831144809893414,-1.7465257047947784,-2.2490643361902367
max,-3.2348410553099436,-3.555947695981921,0.3161703071338869,-1.3635470567011148,4.084410918124453,4.190172022145004,-1.4993877653470422,-0.6661319864427363,-0.0606954363392925,-0.32394019029785065
