,kpa,kSOCSon,kd4,k_d4,R1,R2,kint_a,kint_b,krec_a2,krec_b2
count,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0
mean,-5.951079312867948,-6.203061300310475,-0.5414085648252476,-2.1866706911087275,3.279219242467914,3.3169148706151796,-3.347694514012988,-4.123083495327818,-2.4636753687449673,-3.2508448811595985
std,1.0751714161549704,1.030676539938074,0.2529240293995586,0.30628064212696976,0.3298044857990683,0.3098804422911381,0.9638628667192617,0.8339022687150567,1.0138883474959848,0.9056533253837268
min,-8.607482837594974,-9.625396863545443,-1.251188003542357,-3.08406261012317,2.383215727054627,2.5445310287808,-5.789214733868574,-6.405482888070804,-5.115933744904346,-5.824581414145954
25%,-6.73805655873469,-6.928989778295892,-0.7169853282124945,-2.391297984270657,3.0407591939509437,3.1027035095556608,-4.048135471223159,-4.677059595180842,-3.2111312432711796,-3.8784333014456704
50%,-5.962634647184431,-6.275301876134127,-0.5518125393510833,-2.1580083126591236,3.269227549487977,3.3385719021599147,-3.438245237022259,-4.1544696347320835,-2.5096003529184507,-3.2212959110323456
75%,-5.218017626774099,-5.543733398806845,-0.3523076354179778,-1.9800488916725298,3.501253330584196,3.5252236125045178,-2.6789218876378196,-3.621932981914083,-1.8082820487973783,-2.595782445114501
max,-3.053055056327173,-3.1083800256912952,0.12007440181579104,-1.4354194960288502,4.269393178891379,4.229388503927545,-0.8631779269276866,-1.2505755174361177,0.4754028554288161,-0.6297339231001782
