,kpa,kSOCSon,kd4,k_d4,delR,meanR,kIntBasal_r1,kIntBasal_r2,kint_IFN,krec_a1,krec_a2,krec_b1,krec_b2,gamma
80,1.6441457442081917,4.541736688040375e-06,18.595881636802485,0.9438465111839043,12.86759000192501,7790.6197604458985,0.1325732656918543,0.15720188929275428,0.15823875274715057,0.05664758654067858,0.6581531574670872,0.020236134450754412,2.2337984919961675,0.08053821515811958
81,1.591716056614399,3.952647935225471e-06,22.25518004813658,0.9195029445706788,140.7200999076006,7574.496706379901,0.13612876511492045,0.15714165913618963,0.14782169979059334,0.0685497102130732,0.6288493369526511,0.01784541085319431,2.2190541232077226,0.08058110007480973
82,1.4730132570340484,5.5268668068125295e-06,22.77007158751829,0.5846952321253033,414.30609871817603,7714.924450162599,0.12643350888343102,0.136480050026667,0.15021297998967084,0.06400464579417682,0.7304959489755374,0.019897047975398315,2.5209167045354195,0.08228637388444493
83,1.3905750702971786,4.307431406258527e-06,25.544846932999207,0.4451673968669014,-235.2035836644402,7413.67878003236,0.12066966252416265,0.1415652493903567,0.17678150754070082,0.06810312115071146,0.8269571957963949,0.021153518564907107,2.481265446490956,0.08211313852478584
84,1.249116706334465,3.0366039645170525e-06,25.136931447539073,1.2202026688497645,-1079.0542057448238,7967.943015647651,0.12767668178549055,0.157110134750167,0.15590172898280955,0.06446523338362864,0.7847282717612887,0.023928349306455626,2.588845000244833,0.08069092058059556
85,1.4284712856352566,2.8506030112690895e-06,34.8973250051257,0.6993628994924538,-891.3551409788812,7909.495547874409,0.12987934475355514,0.14114235421863106,0.1541565743616933,0.076779709245662,0.9147635581320426,0.02346036427759667,2.416472277486771,0.08074635038593782
86,1.6936972992715407,2.7757002892646377e-06,28.526091901344643,2.1530665664723543,-844.3926013754324,7859.735903715003,0.1123697979744718,0.14199147559723557,0.15182542980149363,0.07480986676490439,0.8160111769797321,0.019646820109481513,2.638134939382741,0.07920083054621721
87,1.5225921884763882,2.7182547482772386e-06,26.19758085588347,3.676662121575024,-968.7937680425014,8014.932426214144,0.10632674145795909,0.16690449904248789,0.1276660501538978,0.0849585588103857,0.7326758410785821,0.022215385302316672,2.6117981313688854,0.07881890196351563
88,1.7375983575725802,1.8964330398870805e-06,35.820790476001115,4.627419154314264,-1856.7073197605796,7515.085568962951,0.09801914536227034,0.15742721115243088,0.14065354823797627,0.07302851435358976,0.6841113807614558,0.023112323182327053,2.544836912444246,0.0788428117527338
89,1.6642825339208502,1.8746685495133009e-06,56.43156822882657,6.278413265992914,-2109.420630647001,8264.751845718745,0.10488559689431885,0.16460329190885548,0.1622358306877683,0.07448534663698747,0.6006814085333676,0.02297016629181485,2.5116432412625516,0.07974863257821926
90,1.3740178677721768,1.9480154209149225e-06,56.41862967823492,10.592340342179952,-1812.8458139001154,8343.676759190223,0.10139383684910265,0.16708982556794558,0.1487824357445765,0.08803192601025857,0.6665354079820875,0.0202557865569574,3.3865305199403175,0.08008268178390518
91,1.2524943323634274,2.6256938768479714e-06,43.801441474522726,5.46253745751884,-1816.445168205097,8272.942396533688,0.09183807591565842,0.15462942958392464,0.15569689614102106,0.10302956008923307,0.6453657395946667,0.021745276214713605,3.2921320494238238,0.08026996251354662
92,1.1188715926558057,3.2262308548814653e-06,41.888544260108596,5.4505397665600706,-1810.6406606331834,8850.3641895338,0.09899145336524888,0.19201964543111483,0.15535622978360894,0.09284586837989624,0.7115159803697045,0.025748039687783074,3.1744109377025356,0.08109378661208815
93,1.09737662854631,2.5854220888389327e-06,48.688431074082786,3.121491365835183,-2160.5749162675347,9042.462200600614,0.1105947908935123,0.19504602224416948,0.18068518370059455,0.0913263352337085,0.7357219129847585,0.02486247962338849,3.306065598577316,0.08105976593987473
94,1.1783581913004262,4.052367935997635e-06,39.227192653153836,2.809840150757732,-1766.171012411065,9536.738214305813,0.11667691128686429,0.17929027898255528,0.20387440623311312,0.08289824044887169,0.725156392356679,0.022838342210608303,3.55819248918409,0.08162079439256742
95,1.0723682633285299,4.870449355439654e-06,50.55198493749962,1.0153360548283474,-1167.0034864342463,9101.973654047397,0.13071528989913284,0.17729079406021073,0.20964934381300274,0.07029035211844714,0.7963564928986719,0.020856425261907324,2.898101368072399,0.08591321452990636
96,1.0318207965102448,5.700961047632286e-06,57.92780060135811,0.5739140805651144,-1738.0025693335679,9202.371050422504,0.13954715507033497,0.20230639754074592,0.21075702298286475,0.06351952874304165,0.7440156536837166,0.01968798057615478,2.7969963023205313,0.0889737587620641
97,1.015593348678621,6.039257521037965e-06,61.706235745243426,0.6726135743837274,-2279.0447184830355,9176.575078530836,0.14390920080688113,0.2052622044596306,0.24309305910413423,0.06712123711254638,0.8019119600090876,0.01756934422603178,2.6430261011626324,0.09017768959028119
98,1.2005421796432743,4.945228055392578e-06,72.04323137510261,0.6460754744190166,-2415.5385348597833,8986.528378724395,0.13467496701783382,0.19928837158390356,0.22522624416564724,0.07007198425016702,0.8814423716893685,0.01668851571821382,2.791150272413812,0.08823726669948481
99,1.1574244380778842,4.706963054093382e-06,55.28058562926673,1.0570305935542803,-3041.720844779259,8944.689517299807,0.12401864472242433,0.22075256430789528,0.21356648690060875,0.07922210013408656,0.8380476355274826,0.01751170991544085,2.999278633350691,0.08570088335669723
100,0.9714814618450518,7.683812130468355e-06,76.35217992394861,1.5491239921640143,-1868.9952740281406,8586.435567666493,0.10756512178027176,0.1916642738325073,0.22773879039929357,0.08587872668521236,0.7669087651766308,0.01786544920390754,2.9399712674744123,0.09277281372013078
101,0.7076161698153869,4.0661545573949505e-05,0.07197397608652942,0.016877626481789566,4304.377380056706,4318.634643689293,0.0183053559266212,0.05195910876233632,0.17591213699520858,0.04804102489708715,2.7538981837855085,0.05318882066299949,0.8328900484185868,0.07774422292967659
102,0.7766325382537728,4.405595726487549e-05,0.07440966922771287,0.023079574128326934,4253.5508625929015,4158.727901685338,0.015969543652541652,0.05495273808377417,0.1644354248950182,0.04961810936086579,2.3479871234991623,0.04750665327219219,0.7211320686168544,0.07771618897168496
103,0.7473202966208747,4.394716194587654e-05,0.08195049104741081,0.010632264299720683,4263.769895180659,3821.017503929536,0.01428494477373778,0.06161278069990559,0.16620254767761627,0.046926850265783006,2.4595912643919204,0.04738820848049448,0.7920141358953207,0.0782865584844201
