,name,mean,std dev,2.5%,25%,75%,97.5%
0,kpa,2.788577992632776,0.9212753184215355,1.4212902461484793,2.3424098214724753,3.6241371823534942,4.061526513269075
1,kSOCSon,6.153102693358388e-06,3.3174767349787534e-06,2.274685150701002e-06,3.945789191645418e-06,8.246731784063181e-06,1.219565494181523e-05
2,kd4,14.352327413275427,16.683146717335557,1.4507729472212065,4.854133071047609,13.143966129477562,49.79964877098425
3,k_d4,1.6580229413436876,3.396659993445697,0.03239393966953207,0.062207606147170774,0.9408176613977652,8.903853921755646
4,delR,666.5152485967506,2230.4009108181444,-2503.8115782014875,-925.9556325992521,2756.650615820552,3795.401192286595
5,meanR,7086.610611892225,887.8397062610507,5743.3065971470305,6672.379067086393,7851.1167368896595,8289.2396679206
6,kIntBasal_r1,0.07169399059830942,0.028969482278810778,0.04267005541533889,0.04953845908703237,0.0805714617693599,0.12711686564437275
7,kIntBasal_r2,0.13200831815705744,0.021921979045973483,0.09781541319016925,0.12038878722349132,0.1468549287804547,0.16535943671978712
8,kint_IFN,0.1493451026734226,0.07782795778594445,0.05974822946472747,0.09405261294214906,0.15983659869217504,0.30072862285838164
9,krec_a1,0.10285404222055872,0.05204947188141096,0.05713925975956648,0.060620928043671696,0.11774603830829161,0.2075127390006886
10,krec_a2,0.6641920779212733,0.16307646888227423,0.4096288772382677,0.6252667036220569,0.6948145427682487,0.9537440909729824
11,krec_b1,0.02811437390366071,0.01163861607785412,0.01913323426072374,0.020250873530406655,0.029320135604901744,0.05220983901552682
12,krec_b2,1.780013928942009,0.804539549307262,0.8867908471884929,1.1867113825351918,2.264624512165984,3.2063806291689625
