,variable,GR Statistic
0,kpa,1.009059317934832
1,kSOCSon,1.0143351628586996
2,kd4,0.9992185273304489
3,k_d4,0.9994413998125639
4,delR,0.997479519296357
5,gamma,0.9978381175338221
