,variable,GR Diagnostic
0,kSOCSon,1.2083665822834566
1,k_d4,1.0096993666271805
2,delR,1.0118091991000664
3,meanR,1.0292861139705891
4,krec_a1,1.966111714383189
5,krec_a2,1.9356113375995219
6,krec_b1,1.0055068069033424
7,krec_b2,1.4588282957914016
8,gamma,1.0061888965939552
