,variable,GR Statistic
0,kpa,1.0959273359560235
1,kSOCSon,1.0463765162754193
2,kd4,1.0248788783733553
3,k_d4,1.005019053668232
4,delR,1.0489723729664238
5,gamma,1.0865424171221576
