,variable,GR Diagnostic
0,kpa,1.0842252136707522
1,kSOCSon,1.0385010614178338
2,kd4,1.0232083256106344
3,k_d4,1.0074825262186715
4,delR,1.0378051478298205
5,gamma,1.0803619101753972
