,K_Jak1,K_Jak2,K_STAT_STAT1,K_STAT_STAT3,K_SOCS,scale_factor
count,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
mean,2.7447636075277955,2.6524299998521106,2.736143227916777,2.6878841647136182,2.620103051739623,2.745587066470162
std,1.0341422886312246,1.0709136980251872,1.0503438036012196,1.040631609044328,1.0361841730191288,1.0819614719664898
min,-1.1791687233879513,-0.8221006719504077,-0.9669561737785684,-0.9200799071274905,-0.4830449425929419,-1.1690109599818903
25%,2.0466703067880143,1.919978922055387,2.0480404314165415,1.9650148922438917,1.9045134875296232,2.0387186600881777
50%,2.7286873303627637,2.6254075319649925,2.7037825375059494,2.6871149489856183,2.6369594926326965,2.7342979514650585
75%,3.4452057876210835,3.4192010855454305,3.424215358015175,3.377011876787527,3.336779022663144,3.445111287481737
max,6.478806693003383,6.078025218318897,6.632986085067055,6.687209909290022,6.188851339097883,6.73149369626953
