,K_Jak1,K_Jak2,K_STAT_STAT1,K_STAT_STAT3,K_SOCS,scale_factor,K_USP18
count,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
mean,5.033408579431214,4.946216476613521,5.031268571230306,5.008867786403569,4.936040946212333,4.717457333754715,5.060079174876294
std,0.9454695418138028,0.9654746933304801,0.9984276428418543,0.9677378432320355,0.9571001894264676,0.01819827984434404,1.0394473610133943
min,1.5944698355403562,1.3316221670745252,1.5820152195882249,1.4374826607052171,0.9285369824163797,4.654145776955164,1.5425479966759081
25%,4.388560244606957,4.275401539487422,4.369257348406565,4.3350894388363805,4.273489499801211,4.704543509354365,4.359103458440624
50%,5.016022170379379,4.972139411036226,5.062230518522371,5.023358086689908,4.9354717788865505,4.717611315007112,5.050171657136467
75%,5.6717901210662545,5.627844496843315,5.707870306096305,5.6781859559509025,5.57714477328231,4.730010300204607,5.772053998345469
max,8.208505540927295,8.304812584419276,8.819940800144463,8.347576649681072,8.30938247517851,4.777945027141676,8.471153683535716
