,K_Jak1,K_Jak2,K_STAT_STAT1,K_STAT_STAT3,K_SOCS,scale_factor,K_USP18
count,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
mean,4.952562866571942,5.019377766182515,5.065735671713302,5.098083965549806,5.023101013735883,5.109421844174233,4.986272488476196
std,1.0370477791730184,0.975777419708638,1.044049818710674,1.0192243440497653,1.0409909245226467,0.3645034229554169,1.0409610291639375
min,1.3607549016069898,1.54732932739561,1.0401088502230595,1.0141697910693015,1.39640201934277,3.9416216574890544,1.2434672643757807
25%,4.263758220308807,4.366309959930937,4.353900580016369,4.402900136653164,4.316533332907303,4.857570020781846,4.276488165140689
50%,4.927347233753311,5.030772464155898,5.052181387056608,5.1111434142292405,5.053810401870504,5.104074661140317,4.992265654222848
75%,5.657013036853647,5.673086346992081,5.7752314436029835,5.780604664863514,5.740050618483079,5.352766963751483,5.672139553486108
max,8.438898859367027,8.500384335535792,9.144989487642976,8.693303705833708,8.526845676445106,6.480957020009011,8.422634362184038
