,variable,GR Diagnostic
0,kpa,1.0227273449288212
1,kSOCSon,1.0318690063584093
2,kd4,1.0003133408645515
3,k_d4,1.0010280414417458
4,delR,1.0009464539985529
5,gamma,1.0080721535575665
