,kpa,kSOCSon,R1_mu*,R1_std*,R2_mu*,R2_std*,kint_a,kint_b,krec_a1,krec_a2,krec_b1,krec_b2
count,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0
mean,-6.090489673698819,-5.992484259939428,3.218975886777,-0.7108446332815664,3.2827346064319443,-0.7408356938180021,-3.2995276109064915,-3.706514018649145,-3.090347458561222,-2.3374646328422792,-4.028426015671321,-3.070874533673454
std,0.5733355115754516,0.4769368306323253,0.8891434231871781,0.5055197298842926,0.9228063094607872,0.4298536441855505,0.462897362964335,0.4524527614817173,0.48464741960589763,0.49136697711237465,0.5617047579064194,0.46148577550105185
min,-7.860019481075117,-7.084815581642182,0.9167868588192811,-1.8644666403933332,0.8483112608010503,-1.7646750382398355,-4.427454576497965,-5.1551961044295735,-4.2894837884000605,-4.219971434215259,-5.662090482856294,-4.200679973224072
25%,-6.413749998684596,-6.370860704909224,2.561283313444468,-1.0778148391179525,2.6345233011549687,-1.0344126241419587,-3.621116641024604,-4.043238983595123,-3.41744104249774,-2.6302339247193203,-4.416416445687406,-3.3714103623600207
50%,-6.057669882720865,-5.983827833911901,3.2043639996083706,-0.7222182706999076,3.3059684973149897,-0.7407919606145082,-3.2891053063233233,-3.6808790414188377,-3.1273365270282727,-2.3532871629078116,-4.094238340797519,-3.09616861916877
75%,-5.698148227304579,-5.652427505470743,3.834637924338904,-0.3809298822143281,3.911628986474143,-0.4338531067641229,-3.020972495841607,-3.4093872217888435,-2.746809893866666,-2.040241935324477,-3.632490448299042,-2.796681189083634
max,-4.471172291799801,-4.706523295169823,5.435617362528789,0.7809609906794733,5.630013336991135,0.30145061134109374,-1.47169707621736,-2.5702157263010106,-1.7743385726001042,-0.6692566193304857,-2.6965242203651107,-1.3304933023739656
