,kpa,kSOCSon,kd4,k_d4,R1,R2
count,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
mean,0.5558738626046206,-6.6322518387733025,4.840443859824869,4.654065310146557,4.07233932472482,0.71215329660485
std,0.9818079165604446,0.07413802749026281,0.9548843947697373,0.9530285545478999,1.0139599033440891,0.9997987897011655
min,-2.9889694097016126,-6.9059350780454825,1.8772998494758981,1.6321095722566592,0.7563067068803078,-2.4579643131750033
25%,-0.049283904108444854,-6.675802427187404,4.3552714580066105,4.174678252304788,3.787933546516089,0.04376738436308521
50%,0.5430215074956842,-6.629465360689975,5.01592136619636,4.82998858349203,4.49481527572078,0.6912364477961449
75%,1.235402302934545,-6.578674040575764,5.457600810157281,5.2682959547591635,4.729881852447199,1.4200530434272722
max,3.1819498442278085,-6.390762543288813,7.32611469142813,7.1212291644959596,5.3476531321184595,3.4851446600606732
