,kpa,kSOCSon,R1,R2,kd4,k_d4,kint_a,kint_b,krec_a2,krec_b2
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,-5.716929163918826,-6.36307353746149,3.336286926799566,3.270683558492061,-0.6080881888521003,-2.0831671085772063,-3.021033728437569,-3.3450766062184556,-2.309883818107787,-2.822248730286079
std,0.9159587962599789,0.9907049589784217,0.31635902682511113,0.32158838752566976,0.9338738411496897,1.0226944298364706,0.9693473862612466,0.8594375591836382,1.1508655403539296,1.22501000108051
min,-8.681711635119887,-9.420394256307175,2.404483649640491,2.273075490519699,-3.4384873001488416,-5.085392779504668,-6.086903572132022,-5.670470918732179,-5.192639933618529,-6.515184872079862
25%,-6.342285488778824,-6.9735249136374815,3.1331719971973384,3.082939252804538,-1.1951651614075205,-2.778948861160413,-3.508100721020121,-3.900117275329687,-3.1227795153717812,-3.7547203750509657
50%,-5.7192511423218,-6.275149227343869,3.3483576749860493,3.282412430323478,-0.5145095012442966,-2.0565089688434455,-2.9053147075324306,-3.397033979122153,-2.169201174542553,-2.821032159291834
75%,-5.042016074666188,-5.637822165145577,3.5577713076437383,3.462867724410181,0.0898894101250019,-1.3778729782375736,-2.3826941437654594,-2.8335373033827245,-1.5720274998140822,-2.0268370576698294
max,-3.6470933643098817,-4.071346832759168,4.15293255461335,4.067814844979747,1.8633463341815282,1.0558209408946109,-0.6161802663330375,-0.8028661529804975,1.0702728804930601,0.6103201735249685
