,variable,GR Statistic
0,kpa,1.0309409370222113
1,kSOCSon,1.1406636555459446
2,kd4,1.0676614845282573
3,k_d4,1.0146121479910455
4,R1,1.077039708712022
5,R2,1.1020811672648352
6,gamma,1.0033195955225906
