,kpa,kSOCSon,kd4,k_d4,R1,R2,kint_a,kint_b,krec_a2,krec_b2
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,-6.095596906942643,-5.959794283580968,-0.5068971785321684,-2.234498605969051,3.287271242530289,3.3233825285878753,-3.3833210253252677,-3.747002763814929,-2.3443401870250193,-3.147235835436467
std,1.0240992336469636,0.9756566137966257,0.30608135563318273,0.2844463974200055,0.3044615051843288,0.2986348329983683,1.0533277275706814,0.9642931195375415,1.011941789430397,0.927887684945408
min,-9.60355011304444,-9.59351577781048,-1.433322978023138,-3.1844514633052565,2.240588520858676,2.217152094458644,-6.376657138977906,-7.228292358468163,-5.4836440474886885,-5.975578496105001
25%,-6.7759548477988325,-6.547698979668469,-0.728970257459929,-2.421502304294553,3.0758354091882167,3.1144661498789072,-4.139041203836426,-4.436038547247649,-3.028609693573015,-3.8085910158851934
50%,-6.052948072509318,-5.9519165869826605,-0.5231729488947714,-2.2322557994684966,3.2906920623426874,3.3189426969501867,-3.3969234833460344,-3.7898515676861835,-2.3849446196298185,-3.1138299578781057
75%,-5.437881033017779,-5.3019830685084335,-0.3014411532323504,-2.0429682644998293,3.505331914592724,3.5290747718340176,-2.653917916021196,-3.10230982470147,-1.6871453141421227,-2.501087982765824
max,-2.5841265887738034,-3.1433788685705566,0.5329675708341849,-1.2007548110722819,4.231965965113156,4.308674258027681,0.009464651922971428,-0.031363003852354736,0.7481537178210116,0.06798813497932306
