,variable,GR Statistic
0,kpa,1.641594974454628
1,kSOCSon,6.40193218884614
2,kd4,1.4588616050677918
3,k_d4,1.0993515202027369
4,delR,1.1136980979222277
5,meanR,1.9771914136908881
6,gamma,3.016215140124608
