,kpa,kSOCSon,kd4,k_d4,R1,R2,kint_a,kint_b,krec_a2,krec_b2
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,-6.008983197815283,-5.9394802966773055,-0.4941186243894126,-2.250900997035302,3.2958684190809517,3.3066030295265816,-3.312769277969086,-3.827654002875462,-2.3098670832424295,-2.9344863733465134
std,0.9627130871843924,0.9966378167878968,0.29713639292938715,0.3153945220492623,0.2972908652171174,0.2959387700972396,0.9723809931805889,0.9611868515042147,0.9160711088425635,0.9976416680561707
min,-8.789136982793178,-8.63529650355883,-1.574918697400471,-3.2345909472954086,2.3356091617348795,2.5066072113692224,-6.4867173545970855,-7.373012328096432,-5.363983020399525,-6.055579396615653
25%,-6.637722810557447,-6.62099234359685,-0.69428666709278,-2.457149657028054,3.090026243988395,3.0855889962281617,-3.9458567189553375,-4.468794145960061,-2.9786922924470507,-3.5895724248582006
50%,-6.005727762430663,-5.987185982635765,-0.4924335750306456,-2.254050390371429,3.3088456923719463,3.3021528101417887,-3.3194766433557352,-3.8792268394637617,-2.2845989142776997,-2.9377319670943334
75%,-5.346392251106242,-5.315265653442165,-0.3016888803997236,-2.0460521644000536,3.501422136184434,3.5011441345972183,-2.704501420193815,-3.1769711451267213,-1.6720551641776413,-2.29712197802807
max,-2.797941695893956,-2.282160867236876,0.46783639206196664,-1.343609303416409,4.130238071618727,4.220723285962479,-0.10865432361990429,-0.01895225698891129,0.888865060618366,0.15922227430715763
