,variable,GR Statistic
0,kpa,1.4645172868578915
1,kSOCSon,1.1254113944040844
2,kd4,1.2049017289325257
3,k_d4,1.1162013355114235
4,delR,1.156937377673272
5,gamma,1.5953350810013773
