,K_Jak1,K_Jak2,K_STAT_STAT1,K_STAT_STAT3,K_SOCS,scale_factor,K_USP18
count,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
mean,4.988057801011296,5.036845356995749,9.753094024780458,5.702226946476385,-0.5572148408481594,3.8947003832242433,-6.5099256098594775
std,1.017905144136763,0.9816375902094371,0.6751738215123986,0.7477173823266708,0.8799847465079954,0.017369700483894836,0.5383690505763609
min,1.7009142110720652,1.7168883084065605,7.216445555614946,3.306022252699857,-3.6727746165138053,3.8166972705101463,-8.0960359744991
25%,4.3235673301604445,4.375468224800506,9.297593114604002,5.196751016395174,-1.1523582781506785,3.883226152958963,-6.890410963564897
50%,5.003335491232828,5.030268241905876,9.758829486956143,5.695112061603044,-0.5677049295036003,3.894661331396294,-6.526309566347797
75%,5.694750764506909,5.738351736272466,10.203795758212861,6.2054659327708235,0.0494688181586482,3.90646257830111,-6.13536667868325
max,8.723601509726755,8.140223170488563,11.778148149133317,8.085853048479185,2.516159890199587,3.9516376095192616,-4.932388003514963
